0;1
2;3
4;5
6;7
8;9
10;11
12;13
14;15
16;17
18;19
20;21
22;23
24;25
26;27
28;29
30;31
32;33
34;35
36;37
38;39
40;41
42;43
44;45
46;47
48;49
50;51
52;53
54;55
56;57
58;59
60;61
62;63
64;65
66;67
68;69
70;71
72;73
74;75
76;77
78;79
80;81
82;83
84;85
86;87
88;89
90;91
92;93
94;95
96;97
98;99
100;101
102;103
104;105
106;107
108;109
110;111
112;113
114;115
116;117
118;119
120;121
122;123
123;124
121;125
1;119
117;3
115;5
7;113
111;9
109;11
107;13
15;105
17;103
19;101
99;21
97;23
25;95
27;93
91;29
89;31
33;87
85;35
37;83
81;39
79;41
77;43
75;45
73;47
71;49
69;51
67;53
55;65
63;57
59;61
61;124
57;125
119;65
53;3
51;5
49;113
47;9
45;11
43;13
41;105
39;103
101;83
35;21
87;23
31;95
29;93
124;93
95;125
23;65
21;3
83;5
113;103
105;9
11;13
93;13
9;125
65;103
3;5
5;13
103;125
125;13
22;125
126;47
127;128
14;97
129;130
114;122
117;115
118;31
55;131
132;133
134;50
135;96
75;85
109;95
108;136
137;113
111;138
139;140
86;119
24;88
141;94
94;11
88;23
49;119
140;9
138;79
113;37
136;65
82;95
85;67
59;96
50;3
133;68
131;81
31;92
115;35
71;122
130;19
64;97
128;124
47;120
33;125
15;74
7;56
104;29
72;142
143;144
87;83
21;77
43;105
10;36
93;91
25;60
60;11
91;23
119;36
9;105
77;79
37;83
144;65
142;95
67;29
56;96
74;3
68;125
81;120
124;92
97;35
122;19
19;11
35;23
36;92
105;120
79;125
83;3
96;65
95;29
29;11
23;65
92;3
120;125
11;125
65;3
3;125
145;146
146;13
132;65
147;87
148;149
12;5
150;55
151;17
152;29
2;49
153;121
76;108
154;122
155;60
46;142
156;89
157;21
20;95
158;79
159;160
161;36
117;72
162;23
27;135
138;163
164;19
165;124
134;93
166;9
167;119
66;64
32;120
68;50
111;88
168;33
169;34
170;100
171;59
172;97
173;45
114;125
37;82
174;35
0;92
4;15
38;175
16;176
177;24
178;104
179;80
180;181
182;14
136;113
183;184
99;185
140;84
186;86
143;47
40;71
187;85
94;10
123;188
75;105
189;25
190;191
191;13
25;65
87;105
149;188
10;5
55;85
71;17
47;29
86;49
84;121
185;108
184;122
113;60
14;142
89;181
80;21
104;95
24;79
176;160
36;175
15;72
23;92
135;35
82;163
125;19
45;124
93;97
59;9
100;119
34;64
120;33
50;88
88;13
33;65
64;105
188;119
9;5
85;97
17;124
29;19
163;49
121;35
92;108
72;122
175;60
142;160
79;181
95;21
21;13
181;65
105;160
119;60
122;5
108;97
124;35
49;19
19;13
35;65
97;160
60;5
13;5
160;65
65;5
192;121
192;93
192;9
192;105
192;193
192;194
192;67
195;7
55;118
50;135
1;39
196;33
104;25
197;112
75;29
52;22
191;79
198;125
172;74
107;57
35;120
101;11
199;43
47;68
102;181
115;113
200;201
110;138
202;87
44;131
89;83
133;203
204;78
205;49
116;206
144;4
63;207
45;86
94;27
208;95
170;17
140;122
60;3
96;10
209;65
59;91
210;149
37;88
211;23
212;97
213;142
179;136
90;214
215;176
34;92
216;56
77;71
98;85
82;40
111;124
119;72
123;217
217;19
72;218
121;124
40;93
85;9
71;105
56;193
92;194
67;176
214;7
118;136
135;142
97;39
23;33
25;88
112;149
91;29
22;65
10;79
125;3
74;122
57;17
120;95
27;11
86;43
207;68
4;181
113;206
201;49
78;138
87;203
83;131
131;19
203;218
138;124
49;93
206;9
105;181
68;193
43;194
176;11
95;7
136;17
142;122
39;3
33;79
88;65
149;29
29;19
218;65
124;79
93;3
122;9
181;17
7;193
194;11
19;11
193;65
17;79
9;3
11;3
79;65
65;3
127;19
219;168
10;74
183;86
220;142
118;60
114;87
221;112
109;85
138;222
171;143
223;136
75;25
144;224
225;137
226;47
92;17
52;227
228;4
77;1
111;149
129;72
88;37
229;108
22;120
82;68
61;39
0;90
40;67
16;230
15;33
101;123
178;119
95;81
55;71
175;117
140;59
59;124
117;3
71;23
81;231
105;119
123;121
33;9
230;96
67;35
133;90
39;29
68;43
120;79
108;201
132;37
126;72
149;232
1;99
122;4
227;125
17;45
163;47
137;49
78;224
205;25
136;7
143;131
19;222
168;85
112;74
87;86
142;60
60;124
86;3
23;74
85;231
119;222
131;121
7;9
25;96
224;35
90;49
47;29
43;45
125;79
201;4
99;37
232;72
72;124
37;3
74;4
79;231
222;45
29;121
9;49
96;35
35;124
49;3
121;4
45;231
124;231
4;3
3;231
