0;1
2;3
4;5
6;7
8;9
10;11
12;13
14;15
16;17
18;19
20;21
22;23
24;25
26;27
28;29
30;31
32;33
34;35
36;37
38;39
40;41
42;43
44;45
46;47
48;49
50;51
52;53
54;55
56;57
58;59
60;61
62;63
63;64
61;65
59;66
57;67
55;68
53;69
51;70
49;71
47;72
45;73
43;74
41;75
39;76
77;37
35;78
33;79
31;80
29;81
27;82
25;83
23;84
85;21
19;86
87;17
15;88
89;13
90;11
9;91
7;92
5;93
3;94
1;95
96;97
98;99
100;101
102;103
104;105
106;107
108;109
110;111
112;113
114;115
116;117
118;119
120;121
122;123
124;125
126;127
128;129
130;131
132;133
134;135
136;137
138;139
140;141
142;143
144;145
146;147
148;149
150;151
152;153
154;155
156;157
158;159
159;64
157;65
155;66
153;67
151;68
149;69
147;70
145;71
72;143
73;141
74;139
137;75
135;76
133;37
131;78
129;79
127;80
125;81
123;82
121;83
84;119
117;21
86;115
17;113
111;88
109;13
11;107
91;105
103;92
101;93
94;99
97;95
95;64
99;65
93;66
92;67
105;68
107;69
13;70
88;71
113;143
141;115
21;139
119;75
76;83
82;37
81;78
79;80
64;80
65;78
37;66
83;67
68;75
139;69
115;70
143;71
80;71
78;70
66;69
75;67
67;71
70;69
69;71
9;71
59;92
160;88
33;161
162;80
119;144
163;95
36;139
164;89
165;155
53;97
153;115
82;105
121;84
166;96
167;145
120;70
137;117
168;131
57;37
109;169
17;98
158;170
143;171
112;40
107;116
21;102
1;114
73;135
127;72
157;134
172;173
173;71
134;92
72;88
135;161
114;80
102;144
116;95
40;139
171;89
170;155
98;97
169;115
37;105
131;84
117;96
70;145
145;71
96;92
84;88
105;161
115;80
97;144
155;95
89;139
139;71
95;92
144;88
80;161
161;71
88;92
92;71
174;175
176;177
178;179
180;181
182;183
184;185
186;187
188;189
190;191
192;193
194;195
196;197
198;199
200;201
202;203
204;205
206;207
208;209
210;211
212;213
214;215
215;216
213;217
218;211
219;209
207;220
205;221
203;222
201;223
199;224
197;225
195;226
193;227
191;228
189;229
187;230
185;231
232;183
181;233
179;234
177;235
175;236
237;238
239;240
241;242
243;244
245;246
247;248
249;250
251;252
253;254
255;256
257;258
258;216
256;217
254;211
209;252
250;220
248;221
246;222
244;223
242;224
240;225
226;238
236;227
228;235
234;229
233;230
231;183
183;216
230;217
229;211
235;252
220;227
238;221
222;225
224;223
223;216
225;217
211;221
227;252
252;216
217;221
221;216
23;165
259;152
260;66
114;72
261;97
262;90
263;264
265;6
266;157
267;37
268;164
269;172
270;33
271;272
273;274
275;276
61;9
277;278
279;153
155;82
13;280
21;107
168;57
281;282
283;160
284;117
285;133
286;49
287;288
289;81
290;291
63;292
293;20
294;135
54;84
4;295
296;95
297;40
47;166
86;122
38;131
298;96
94;299
15;151
129;300
12;17
120;76
301;83
27;302
303;304
87;305
126;306
171;101
307;308
53;142
309;310
60;311
312;110
313;314
315;102
316;317
30;318
319;46
173;320
321;74
74;92
320;67
46;159
318;65
317;322
102;73
314;88
110;323
311;134
310;143
142;89
167;308
101;324
306;325
305;75
304;326
302;327
83;35
116;76
17;128
300;111
151;328
299;169
96;147
131;69
122;109
166;145
40;329
330;95
295;64
84;78
135;112
20;331
292;144
291;127
81;332
288;70
49;137
133;139
117;124
160;119
282;79
57;333
107;334
280;98
7;82
121;153
170;278
9;335
276;80
274;115
272;336
99;33
172;77
164;158
148;37
157;337
113;6
264;161
90;338
97;85
72;339
340;66
152;165
165;92
66;67
339;159
85;65
338;322
73;161
6;88
337;323
37;134
158;143
89;77
308;33
336;324
325;115
80;75
335;326
278;327
35;153
82;76
98;128
334;111
333;328
169;79
119;147
124;69
109;139
137;145
329;70
332;95
127;64
144;78
112;331
331;92
78;67
64;159
95;65
322;70
161;145
88;139
323;69
134;147
143;79
77;328
33;111
128;324
76;115
153;75
327;326
326;92
75;67
115;159
65;324
111;70
145;328
79;139
69;147
92;147
139;67
159;328
70;324
324;147
328;67
147;67
146;22
9;121
173;341
6;7
135;116
143;92
151;342
335;115
172;343
120;21
137;111
166;117
105;103
79;344
153;72
51;78
76;168
40;35
89;337
43;113
114;345
95;69
86;82
53;276
74;107
47;139
157;346
304;98
1;347
131;142
96;348
278;316
73;124
167;85
85;68
124;159
87;316
348;147
142;67
347;64
98;169
346;57
119;139
107;88
276;71
82;339
69;75
345;66
113;90
337;158
35;33
323;168
77;78
72;349
344;156
103;93
117;329
109;111
21;171
343;134
145;115
342;80
331;92
116;84
22;7
121;341
341;68
7;159
316;84
147;92
80;67
115;64
134;169
171;57
111;139
329;88
93;71
339;156
75;349
66;78
168;90
158;33
33;68
159;90
84;78
92;349
156;67
71;64
169;88
57;139
139;68
90;88
78;64
349;67
68;67
64;88
88;67
