79,"KARAM, Tariq",MANHATTAN / SAS ,Western WA ,USA ,A17 ,
80T,"MATHEWS, Stephen",F.A. DENV. ,Colorado ,USA ,B17 ,
80T,"SCHINDLER, Zachary",UNAT / NYU ,New England ,USA ,C14 ,
82,"HU, William",PFA ,Mt. Valley ,USA ,C17 ,
83,"BURKE, William",MANHATTAN ,Metro NYC ,USA ,B17 ,
84,"DEL VECCHIO, Nicolas",CAPITAL ,Capitol ,USA ,A16 ,
85,"HAST, Kern",MANHATTAN ,Metro NYC ,USA ,B16 ,
86,"POSSICK, Owen",AFFA ,New Jersey ,USA ,C17 ,
87,"KIM, Stephen",MANHATTAN ,Metro NYC ,USA ,B16 ,
88,"KULDELL, Spencer",BOSTON FC ,New England ,USA ,B17 ,
89,"SHIN, Richard J.H.",AGFC ,Southern CA ,USA ,A16 ,
90,"RICHARDSON, Andrew",,N. Carolina ,USA ,B17 ,
91T,"FLORES, Gerardo",HLBRSDT ,Northern CA ,USA ,A15 ,
91T,"GREENBAUM, Maxwell",NELLYA ,Georgia ,USA ,B17 ,
93,"REA, Franklin",MOE FC / BOSTON FC ,New England ,USA ,B17 ,
94,"MERCHANT, Marcel",MANHATTAN ,Metro NYC ,USA ,C16 ,
95,"KOKOSINSKI, Eryk",MFA ,Illinois ,USA ,B17 ,
96,"WILDE, Dexter",REDSTAR ,Illinois ,USA ,A16 ,
97,"CHO, Justin",,North TX ,USA ,C17 ,
98T,"GRATHWOL-SEAR, Sebastian",SAS ,Western WA ,USA ,C17 ,
98T,"LOBO-BERG, Gabriel",MANHATTAN ,Metro NYC ,USA ,D16 ,
100,"LIU, Shu",ZFLA ,San Bern'do ,CHN ,B17 ,
101,"LINDER, James",F.C. - AZ ,Arizona ,USA ,A17 ,
102T,"SZETO, Brian",ZETA FENCING ,New England ,USA ,B16 ,
102T,"ZHANG, Andrew",PFA ,Mt. Valley ,USA ,A17 ,
104,"SCHMITT, Trenton",PFA ,Mt. Valley ,USA ,B16 ,
105,"STOGIN, John",,Illinois ,USA ,C17 ,
106,"JOHNSON, Andrew",F.C. - AZ ,Arizona ,USA ,B17 ,
107,"WITEK, Bernard",CHAPELHILL / DFA ,Metro NYC ,USA ,C17 ,
108,"GETS, Matthew",BERGEN F.C. ,Metro NYC ,USA ,A16 ,
109,"BERKAY, Deniz",MANHATTAN ,Long Island ,USA ,B17 ,
110,"MEHTA, Sachin",DFC / F.A. DENV. ,Colorado ,USA ,B17 ,
111,"PRICE, Jack",,New Jersey ,USA ,B17 ,
112,"SANTANA, Hudson",AFFA ,Metro NYC ,USA ,B17 ,
113,"BOLTON, Dawson",F.C. - AZ ,Arizona ,USA ,B16 ,
114T,"MENDOZA, Marc",SDFC ,San Diego ,BOL ,B16 ,
114T,"RICHARDS II, Julian",BERGEN F.C. ,Huds-Berks ,USA ,B17 ,
116,"LU, Aaron",PENINSULA ,Northern CA ,USA ,B17 ,
117,"LEONELLI, Alexandre",U.C.S.D. ,San Diego ,USA ,B17 ,
118,"OSOLINIEC, Victor",COBRA ,New Jersey ,USA ,B17 ,
119,"SHURYGIN, Ariel",PDX ,Oregon ,USA ,B17 ,
120T,"DROZ, Camden",SON ,Gold Coast ,USA ,B17 ,
120T,"NIKOLAI, William",USAFC ,Utah-S.Idaho ,USA ,B16 ,
122,"XU, Ryan",,,CAN ,B17 ,
123,"DOUGALL, Tyson",PDX ,Oregon ,USA ,B17 ,
124,"KIM, Shawn",LAGUNA F.C. ,Orange Coast ,USA ,A17 ,
125,"ATTIG, Will",OREGONFA ,Oregon ,USA ,B17 ,
126,"LEE, Kevin",U.C.S.D. ,North TX ,USA ,B16 ,
127,"SEVOSTYANOV, Stepan",MANHATTAN ,Metro NYC ,KAZ ,B17 ,
128,"HAN, Nicholas",BERGEN F.C. / TIGERZ ,New Jersey ,USA ,C17 ,
129,"DEMAREST, Iain",OREGONFA ,Oregon ,USA ,C17 ,
130T,"HARLEY, Sage",NELLYA ,Georgia ,USA ,C16 ,
130T,"CHAN, Zachary",BERGEN F.C. ,New Jersey ,USA ,C17 ,
132,"LAU, Cheung Kang",AGFC ,Southern CA ,HKG ,B17 ,
133,"THOMAS, Aleksander",PDX ,Oregon ,USA ,C17 ,
134,"DANNULL, Linus",RTF ,N. Carolina ,USA ,C17 ,
135,"DINU, Nicholas",LAGUNA F.C. ,Orange Coast ,CAN ,B17 ,
136T,"RAINVILLE-POND, Schuyler",,N. Carolina ,USA ,B16 ,
136T,"BUENAVENTURA, Christian",ZETA FENCING ,New England ,USA ,C16 ,
138,"DESCHERER, David",BERGEN F.C. ,New Jersey ,USA ,B17 ,
139T,"KIM, Brian",BERGEN F.C. ,New Jersey ,USA ,B16 ,
139T,"WU, Nicholas",MANHATTAN ,Metro NYC ,USA ,C17 ,
139T,"JEFFRY, Robin",HLBRSDT ,Northern CA ,USA ,B16 ,
142,"OSTER, Keegan",,Mt. Valley ,USA ,A17 ,
143,"IWAMOTO, Eric",LAGUNA F.C. ,Orange Coast ,USA ,C17 ,
144,"TONG, Qilin",NELLYA ,Georgia ,USA ,C17 ,
145,"TATE, Samuel",,N. Carolina ,USA ,C15 ,
146,"CHOU, Stephen",BERGEN F.C. ,New Jersey ,USA ,C17 ,
