78,"SCHMITT, Trenton",PFA ,Mt. Valley ,USA ,A17 ,
79,"LIN, Xiteng (Steven)",OREGONFA ,Oregon ,CHN ,A17 ,
80,"LIN, Lucas",,North TX ,USA ,B16 ,
81,"BERKAY, Deniz",MANHATTAN ,Long Island ,USA ,B17 ,
82,"OSTER, Keegan",HANGTOWN ,Mt. Valley ,USA ,A17 ,
83,"CHEN, Andrew",NELLYA ,Georgia ,USA ,A17 ,
84,"DINU, Nicholas",LAGUNA F.C. ,Orange Coast ,CAN ,B17 ,
85,"MCPHEDRAN, Spencer",,,CAN ,B17 ,
86,"PARK, Donghwan",PFA ,Mt. Valley ,USA ,B17 ,
87,"DESCHERER, David",BERGEN F.C. ,New Jersey ,USA ,B17 ,
88T,"ANGLADE, Ronald",NELLYA ,Georgia ,USA ,C17 ,
88T,"BIVINS, George",MANHATTAN ,Metro NYC ,USA ,B17 ,
90,"PRIEST, Leighton",RENFENC ,Michigan ,USA ,C17 ,
91,"HARLEY, Sage",NELLYA ,Georgia ,USA ,C17 ,
92,"FLORENCIA, Hector",OSU VARSITY FENCING TEAM ,North TX ,MEX ,A14 ,
93T,"RICE, Vaughn",MEDEO F.C. ,New Jersey ,USA ,C17 ,
93T,"RAINVILLE-POND, Schuyler",,N. Carolina ,USA ,B17 ,
95,"FLORES, Gerardo",HLBRSDT ,Northern CA ,USA ,A17 ,
96,"KENNEDY, Falan",,,CAN ,B17 ,
97,"LIU, Jesse",NELLYA ,Georgia ,USA ,B17 ,
98,"BERGMAN, Thomas",NYU / DURKAN ,West-Rock ,USA ,C15 ,
99,"WITEK, Bernard",CHAPELHILL / DURKAN ,Metro NYC ,USA ,C17 ,
100,"GREENBAUM, Maxwell",NELLYA ,Georgia ,USA ,B17 ,
101T,"HU, William",PFA ,Mt. Valley ,USA ,B17 ,
101T,"MOON, Sean",ZETA FENCING ,New England ,USA ,B17 ,
103,"QUIST, Cole",COBRA ,New Jersey ,USA ,C16 ,
104,"OSOLINIEC, Victor",COBRA ,New Jersey ,USA ,B17 ,
105,"LORTKIPANIDZE, Nickoloz",TIM MOREHOUSE FENCING ,West-Rock ,USA ,B17 ,
106,"LU, Berwyn",ARSENAL ,Georgia ,USA ,B17 ,
107,"ROTENSTEIN, Leon",BRANDEIS / ZETA FENCING ,New England ,USA ,B16 ,
108,"WALKER, Dalton",UNAT / COBRA ,New Jersey ,USA ,B17 ,
109,"BAK, Mikolaj",MANHATTAN / NYU ,New Jersey ,USA ,A17 ,
110,"JONES, Alexander",AGFC ,Southern CA ,USA ,B17 ,
111,"SUN, Andrew",PENN ,Georgia ,USA ,A17 ,
112,"HAST, Kern",MANHATTAN ,Metro NYC ,USA ,B16 ,
113,"SZETO, Brian",ZETA FENCING ,New England ,USA ,B16 ,
114,"GULATI, Thejas",U.C.S.D. / PFA ,San Diego ,USA ,A17 ,
115,"BIERNACKI, Maciej",DURKAN ,Metro NYC ,USA ,C17 ,
116,"PARK, Justin",BERGEN F.C. ,New Jersey ,USA ,A17 ,
117T,"YILLA, Ahmed",PETERWE / BALTI. F.C. ,Metro NYC ,USA ,C14 ,
117T,"CHO, Justin",LONESTAR ,North TX ,USA ,B17 ,
119,"JOHNSON, Andrew",F.C. - AZ ,Arizona ,USA ,A17 ,
120,"MORICZ, Hunter",,,CAN ,B17 ,
121,"COPELAND, Oliver",AGFC ,Southern CA ,USA ,C17 ,
122,"CHOU, Stephen",BERGEN F.C. ,New Jersey ,USA ,B17 ,
123,"BRAJDIC, Joseph",PETERWE / FENCERS ,Long Island ,CRO ,A15 ,
124,"REN, Junming",BERGEN F.C. ,New Jersey ,HKG ,C17 ,
125T,"MARSEE, James",PFA ,Mt. Valley ,USA ,C17 ,
125T,"SCHINDLER, Zachary",BOSTN FNCNG. CLB. / NYU ,New England ,USA ,C14 ,
127T,"SHIN, Richard J.H.",AGFC ,Southern CA ,USA ,A16 ,
127T,"LIU, Shu",WEST COAST FENCING ,San Bern'do ,CHN ,B17 ,
129T,"KARAM, Tariq",MANHATTAN / SAS ,Metro NYC ,USA ,A17 ,
129T,"YUNGEBERG, Tyler",F.A. DENV. ,Colorado ,USA ,B17 ,
131,"CAMPBELL, Colin",NOTREDAME ,Capitol ,USA ,A15 ,
132,"SHUSTER, Gabe",,,CAN ,C16 ,
133,"LORTKIPANIDZE, Guram",TIM MOREHOUSE FENCING ,West-Rock ,USA ,B16 ,
134,"MATT, Chris",VACADF ,Virginia ,USA ,B17 ,
