45T,"Johnson, Andrew",A18 / 85 ,FCOAZ ,Arizona ,USA ,4 ,0.67 ,22 ,21 ,+1 ,Advanced
45T,"Osoliniec, Victor",B18 ,COBRAFC ,New Jersey ,USA ,4 ,0.67 ,22 ,21 ,+1 ,Advanced
47,"Bivins, George",A18 / 82 ,MANHATTANFC ,Metro NYC ,USA ,3 ,0.50 ,26 ,20 ,+6 ,Advanced
48,"Yuan, Ronald",B17 ,BIRMINGHAMFC ,Alabama ,USA ,3 ,0.50 ,26 ,21 ,+5 ,Advanced
49,"Swartz, Roscoe",A18 / 44 ,BERGENFC ,New Jersey ,USA ,3 ,0.50 ,23 ,18 ,+5 ,Advanced
50,"Panteleev, Arsenii",A16 ,NOTREDAME ,Indiana ,,3 ,0.50 ,25 ,21 ,+4 ,Advanced
51,"Schmitt, Trenton",A17 ,PREMIERFA ,Mt. Valley ,USA ,3 ,0.50 ,24 ,20 ,+4 ,Advanced
52,"Lortkipanidze, Nickoloz",B18 / 64 ,TIMMOREHOUSE ,West-Rock ,USA ,3 ,0.50 ,23 ,19 ,+4 ,Advanced
53,"Igoe, Benjamin",A14 / 23 ,NYAC ,Metro NYC ,USA ,3 ,0.50 ,23 ,20 ,+3 ,Advanced
54,"Kushkov, Simon",B18 ,DYNAMOFC ,New England ,USA ,3 ,0.50 ,25 ,23 ,+2 ,Advanced
55,"Nadile, Henry",B17 / 59 ,TIMMOREHOUSE ,West-Rock ,USA ,3 ,0.50 ,24 ,22 ,+2 ,Advanced
56,"No, Nicholas",A17 / 46 ,PREMIERFA ,Mt. Valley ,USA ,3 ,0.50 ,23 ,21 ,+2 ,Advanced
57,"Contreras, Alessandro",A18 / 27 ,CAPITALFA ,Capitol ,USA ,3 ,0.50 ,22 ,20 ,+2 ,Advanced
58,"Landau, Nathaniel",B18 / 86 ,CAPITALFA ,Capitol ,USA ,3 ,0.50 ,21 ,19 ,+2 ,Advanced
59,"Chen, Andrew",A18 / 110 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,23 ,22 ,+1 ,Advanced
60,"Sieradzky, Dawson",A17 / 32 ,MANHATTANFC / COLUMBIAU ,New Jersey ,USA ,3 ,0.50 ,22 ,21 ,+1 ,Advanced
61,"Hu, William",B18 / 81 ,PREMIERFA ,Mt. Valley ,USA ,3 ,0.50 ,26 ,26 ,0 ,Advanced
