45,"HAN, Nicholas",B17 ,BERGEN F.C. / TIGERZ ,New Jersey ,USA ,4 ,0.67 ,24 ,16 ,+8 ,Advanced
46,"MERCHANT, Julian",A17 / 15 ,PENN / MANHATTAN ,Metro NYC ,USA ,4 ,0.67 ,26 ,19 ,+7 ,Advanced
47T,"NIKOLAI, William",B16 / 56 ,,Utah-S.Idaho ,USA ,4 ,0.67 ,25 ,18 ,+7 ,Advanced
47T,"SIERADZKY, Dawson",A17 / 71 ,MANHATTAN / COLUMBF ,New Jersey ,USA ,4 ,0.67 ,25 ,18 ,+7 ,Advanced
47T,"COHEN, Josef",A17 / 54 ,RIFAC / COLUMBF ,New England ,USA ,4 ,0.67 ,25 ,18 ,+7 ,Advanced
50,"BOOTH, Zaheer",B17 / 88 ,UNAT / FENCERS ,Metro NYC ,USA ,4 ,0.67 ,24 ,17 ,+7 ,Advanced
51,"MICHELL, Bailey",C17 ,INTL. F.C. ,New England ,USA ,4 ,0.67 ,24 ,18 ,+6 ,Advanced
52,"ZHAO, Raymond",A17 / 18 ,NELLYA ,Georgia ,USA ,4 ,0.67 ,23 ,17 ,+6 ,Advanced
53T,"FIELDS, Malcolm",A16 / 93 ,AFFA ,New Jersey ,USA ,4 ,0.67 ,27 ,22 ,+5 ,Advanced
53T,"CHIN, Edward",A16 / 86 ,PRNCTONU. / MANHATTAN ,New Jersey ,USA ,4 ,0.67 ,27 ,22 ,+5 ,Advanced
55T,"GEORGE, Evan",B17 / 90 ,U.C.S.D. ,Central CA ,USA ,4 ,0.67 ,24 ,19 ,+5 ,Advanced
55T,"KOLASA, Thomas",A17 / 60 ,UNAT / FENCERS ,S. Jersey ,USA ,4 ,0.67 ,24 ,19 ,+5 ,Advanced
57,"GÉLINAS, Marc",B16 ,,,CAN ,4 ,0.67 ,23 ,18 ,+5 ,Advanced
58,"CHIARA, ANGELO",B17 ,,,CAN ,4 ,0.67 ,24 ,20 ,+4 ,Advanced
59,"MILLS, Connor",A16 / 91 ,PENN ,S. Jersey ,USA ,4 ,0.67 ,22 ,18 ,+4 ,Advanced
60T,"VAN HOFFELEN, Raphael",B14 ,,Philadelphia ,GBR ,4 ,0.67 ,26 ,23 ,+3 ,Advanced
60T,"CENTANNI, Salvatore",A17 / 30 ,,Metro NYC ,USA ,4 ,0.67 ,26 ,23 ,+3 ,Advanced
62T,"BOUTET, Cedric",A17 / 72 ,,,CAN ,4 ,0.67 ,24 ,21 ,+3 ,Advanced
62T,"MOISE, Bryan",C17 ,THRUST F.A. ,West-Rock ,USA ,4 ,0.67 ,24 ,21 ,+3 ,Advanced
64,"FERNANDES, Aksel",A17 / 104 ,NELLYA ,Georgia ,USA ,4 ,0.67 ,23 ,20 ,+3 ,Advanced
65,"FARFAN-BAYERL, Inti",A17 ,F.A. DENV. ,Colorado ,USA ,4 ,0.67 ,25 ,23 ,+2 ,Advanced
66,"WILLIAMS, Marty",A17 / 23 ,TIM MOREHOUSE FENCING / CANDLE ,Metro NYC ,USA ,4 ,0.67 ,26 ,25 ,+1 ,Advanced
67,"ROTHENBERG, Matthew",C16 ,BRANDEIS / DURKAN ,New Jersey ,USA ,4 ,0.67 ,23 ,24 ,-1 ,Advanced
68,"GRUBE, Sterling",B16 ,THRUST F.A. ,West-Rock ,USA ,3 ,0.60 ,19 ,14 ,+5 ,Advanced
69,"SCHMITT, Trenton",A17 ,PFA ,Mt. Valley ,USA ,3 ,0.60 ,23 ,19 ,+4 ,Advanced
