79T,"Te Velde, Noah",PWESTBROOK ,New England ,USA ,C18 ,
79T,"Wisniowski, Michal",AFFA ,New Jersey ,USA ,B16 ,
81,"Kupanoff, Dimitri",LAGUNAFC ,Orange Coast ,USA ,B17 ,
82,"Vaccari, Braden",TIMMOREHOUSE ,Metro NYC ,USA ,B18 ,
83,"Shin, Richard J.H.",AGFC (CA) ,Southern CA ,USA ,A16 ,
84,"Kolasa, Matthew",,S. Jersey ,USA ,C16 ,
85,"Del Vecchio, Nicolas",CAPITALFA ,Capitol ,USA ,A18 ,
86,"Kim, Brian",BERGENFC ,New Jersey ,USA ,A18 ,
87,"Julien, William A",ALLEFENCING ,Gold Coast ,USA ,A17 ,
88,"Lin, Lucas",,North TX ,USA ,B16 ,
89,"Han, Nicholas",BERGENFC / TIGERZFA ,New Jersey ,USA ,B18 ,
90,"Ma, Jonathan",LONESTARFC ,North TX ,USA ,B18 ,
