83T,"CHAO, Kevin",LAIFC ,Southern CA ,USA ,A16 ,
83T,"POULIQUEN, Nicolas",,Minnesota ,CAN ,A16 ,
85,"MILLER, Finn",MEDEO F.C. ,New Jersey ,USA ,A17 ,
86,"STUSNICK, Hunter",BRANDEIS ,New Jersey ,USA ,A17 ,
87T,"PICARD, Christopher",,New England ,USA ,A17 ,
87T,"KIM, Christopher",SWORDS ,Southern CA ,USA ,A15 ,
89T,"BENNION, Michael",SF ,Utah-S.Idaho ,USA ,B16 ,
89T,"ADOLPHE, Benjamin",FSA ,Virginia ,USA ,A17 ,
91,"HOUSE, Alex",FENCERS ,New Jersey ,USA ,A17 ,
92,"ZACHARAKIS, Demetri",ALLIANCE F.A. ,Gulf Coast ,USA ,B17 ,
93,"HAN, Matthew",OLYMPIC FC ,Georgia ,USA ,A16 ,
94,"ARIETA, Ryan",WEST BERKELEY FENCING ,Northern CA ,USA ,A15 ,
95,"SHINHOLSTER, Michael",EFCA ,Georgia ,USA ,A17 ,
96,"HONDOR, Robert",OLYMPIA F. C. ,New England ,USA ,A17 ,
97,"ZHANG, William",NYU ,Metro NYC ,USA ,A17 ,
98,"PARK, Thomas Junseo",BB-FC ,Southern CA ,CAN ,A17 ,
99,"SODERBERG, Alex",TEAMTOUCHE ,San Diego ,USA ,A17 ,
100,"PEGRAM, Tavish",FENCERS ,Metro NYC ,USA ,A14 ,
101,"MUNLIN, Donovan",,Georgia ,USA ,A15 ,
102,"LEVY, Zachari",FRESNO ,Mt. Valley ,USA ,C17 ,
103,"CHENG, Zachary",NOTREDAME ,Illinois ,USA ,A16 ,
104,"SMITH, Justin",NO FEAR ,Mt. Valley ,USA ,A16 ,
105,"LEE, Timothy Seungjoon",PENTA ,Virginia ,USA ,B17 ,
106T,"CULPEPPER, John",,Columbus OH ,USA ,A17 ,
106T,"TEPEDELENLIOGLU, Mehmet",EBFG ,Northern CA ,USA ,A17 ,
106T,"TAFOYA, Devin",DFC / NORCOLO ,Colorado ,USA ,A17 ,
109,"BOGERT, Alexander BRYCE",,Gateway FL ,USA ,A17 ,
110,"MA, Ark",ALLIANCE F.A. ,Gulf Coast ,USA ,B17 ,
111,"NGUYEN, Ethan",BB-FC ,Nevada ,USA ,B17 ,
112,"RUSSELL, Ben",LIGONIER ,Central PA ,USA ,A17 ,
113,"MASON, Alexander",FAO ,Columbus OH ,USA ,A17 ,
114,"ZELLER, Zachary",NOTREDAME ,Nevada ,USA ,A16 ,
115,"MACHULSKY, Ned",AFM ,Central CA ,USA ,B16 ,
116,"SHEPARD, Trevor",SWORDS ,Southern CA ,USA ,B16 ,
117,"NORTH, Gary",HCMA ,Southwest OH ,USA ,A17 ,
118,"LI, Jason Man Kit",,,CAN ,B17 ,
119,"WOLF, Myles",FENCERS ,Metro NYC ,USA ,B16 ,
120,"CULLEN, Daniel",NOTREDAME / DYNAMOFC ,Northern OH ,USA ,B17 ,
121,"KIMATIAN, Stephen",USAFA / HOF ,Colorado ,USA ,B15 ,
