49T,"COLE, Joshua",A17 ,PSU ,West-Rock ,USA ,3 ,0.60 ,20 ,15 ,+5 ,
49T,"MELCHER, Jack",B14 ,PDMAINE ,Northeast ,USA ,3 ,0.60 ,20 ,15 ,+5 ,
52,"TSINIS, Alexander",A17 / 8 ,,Metro NYC ,USA ,3 ,0.60 ,19 ,15 ,+4 ,
53,"MECHKOV, Iliya",A17 / 99 ,BAY STATE ,Illinois ,BUL ,3 ,0.60 ,20 ,19 ,+1 ,
54,"HRAPSKY, Ryan",A17 / 56 ,NJIT ,New Jersey ,USA ,3 ,0.60 ,19 ,21 ,-2 ,
55T,"GRAB, Ethan",A14 ,MARX FENCING ,New England ,USA ,3 ,0.50 ,26 ,21 ,+5 ,
55T,"CALLAGHAN, Sean",A16 ,U.C.S.D. ,Utah-S.Idaho ,USA ,3 ,0.50 ,26 ,21 ,+5 ,
57,"CROUSE, Wolfe",A16 / 73 ,ALLIANCE F.A. ,Gulf Coast ,USA ,3 ,0.50 ,26 ,23 ,+3 ,
58,"FAYEZ, Ayman",A17 / 40 ,FSA ,Georgia ,EGY ,3 ,0.50 ,25 ,23 ,+2 ,
59,"HAIDER, Syed Safi",A16 / 61 ,IMASTERS ,Georgia ,USA ,3 ,0.50 ,26 ,25 ,+1 ,
60,"ETCHELL, Thomas",A16 ,DFC ,Colorado ,USA ,3 ,0.50 ,23 ,22 ,+1 ,
61,"KUNG, Aidan",A17 / 83 ,SWORDS ,Southern CA ,USA ,3 ,0.50 ,24 ,24 ,0 ,
62T,"ROTH, Charles",A16 ,,Illinois ,USA ,3 ,0.50 ,23 ,23 ,0 ,
62T,"CARPENTER, Liam",A17 / 69 ,MARX FENCING ,New England ,USA ,3 ,0.50 ,23 ,23 ,0 ,
64,"ANA, Ionut",A15 / 85 ,HOF ,Northern OH ,ROU ,3 ,0.50 ,22 ,23 ,-1 ,
65,"YU, Colin",A17 ,MARX FENCING ,New England ,USA ,3 ,0.50 ,21 ,22 ,-1 ,
66,"LAURON, Sean",A16 / 107 ,LAIFC ,San Bern'do ,USA ,3 ,0.50 ,25 ,27 ,-2 ,
67,"HESSLEGRAVE, Porter",A16 / 86 ,UNAT / LAIFC ,Southern CA ,USA ,3 ,0.50 ,23 ,25 ,-2 ,
68,"DINKINS, Ramadan",A17 / 70 ,WCFA ,Illinois ,USA ,3 ,0.50 ,22 ,24 ,-2 ,
69,"TABLEMAN, Doug",A17 ,FENCERS / COBRA ,New Jersey ,USA ,3 ,0.50 ,20 ,22 ,-2 ,
70T,"KUMASHI, Mihir",B17 ,ALLIANCE F.A. ,Gulf Coast ,USA ,3 ,0.50 ,21 ,24 ,-3 ,
70T,"VAG-URMINSKY, Paul",A17 ,WCFA ,Illinois ,USA ,3 ,0.50 ,21 ,24 ,-3 ,
72,"TRUMBULL, Emmett",B16 ,WCFA ,Illinois ,USA ,3 ,0.50 ,20 ,23 ,-3 ,
