72,"BEITTEL, Chloe",A17 ,EBFG ,Northern CA ,USA ,3 
73,"MICEK, Alexandria",B16 / 93 ,,Gulf Coast ,USA ,3 
74,"ALDADAH, Huda",A16 / 47 ,PEORIA ,Illinois ,USA ,3 
75,"ZUIKOVA, Veronika",A14 ,STJOHNNCAA ,Long Island ,EST ,3 
76,"BEIHOLD, Emily",B16 ,U.C.S.D. ,San Diego ,USA ,2 
77,"PLENTY, Kenyata (Kenya)",A17 / 62 ,,Metro NYC ,USA ,2 
78,"KOMAR, Sofia",A17 / 28 ,MEDEO F.C. ,New Jersey ,USA ,2 
79,"GILL, Kaitlyn",B17 ,FAW ,New Jersey ,USA ,2 
80,"LIANG, Rui ( Jessica )",B17 ,ALLIANCE F.A. ,Gulf Coast ,USA ,2 
81,"LIU, Linda",C17 ,,,CAN ,2 
82,"HUELLAS-BRUSKIEWICZ, Marie-Rose",C16 ,,,CAN ,2 
83T,"PAUL, Anna",B16 ,IFC ,Illinois ,USA ,2 
83T,"MATTERN, Tasha",B17 ,NWFC / LAIFC ,Oregon ,USA ,2 
85T,"O'REILLY, Meghan",A16 / 74 ,OLYMPIA F. C. / TWORAVENS ,New England ,USA ,2 
85T,"YEFREMENKO, Dariya (Dasha)",A17 / 35 ,MEDEO F.C. ,New Jersey ,USA ,2 
87T,"ZMURK, Emma",A16 / 54 ,U.C.S.D. ,Northern CA ,USA ,2 
87T,"PROVENZA, Hannah",A15 ,MARX FENCING / BAY STATE ,New England ,USA ,2 
89T,"BINDAS, Blodwen",B17 / 77 ,DFA / ATLANTIC F.A. ,New Jersey ,USA ,2 
89T,"CASTRO, Rachel",B17 ,NORCOLO ,Colorado ,USA ,2 
91,"LANDWEHR, Helen",A14 / 55 ,USAFA / FRFC ,Colorado ,USA ,2 
92,"PECELI, Isabella",B16 ,,Mt. Valley ,USA ,2 
93T,"GUPTA, Ananya",B15 ,WCFA ,Illinois ,USA ,2 
93T,"GISOLFI-MCCREADY, Kaija",A17 / 29 ,MARX FENCING ,New England ,USA ,2 
95T,"MARSH, Janet",B16 ,NO FEAR ,San Diego ,USA ,2 
95T,"CHOI, Lyla",A17 ,FAW ,Metro NYC ,USA ,2 
95T,"RAUSCH, Ariana",A17 / 65 ,ALLIANCE F.A. ,Gulf Coast ,USA ,2 
98,"LOMBARD, Ella",B15 ,NOWESTU ,Illinois ,USA ,2 
99,"YOON, Julia",C17 ,TIGERZ ,New Jersey ,USA ,2 
100,"LEUNG, Karina Kay Sze",B17 ,,New Jersey ,HKG ,2 
101,"PAPADOPOULOS, Maria",A17 ,UNAT / DUKEUNIVFC ,Virginia ,USA ,2 
102T,"BERDICHEVSKY, Adelle",B16 ,NOWESTU ,West-Rock ,USA ,2 
102T,"MOHABIR, Ariane",C17 ,AFM ,Central CA ,USA ,2 
104,"BOUDREAU, Justine",C17 ,,,CAN ,2 
105,"HARRISON, Amelia",C16 ,U.C.S.D. ,Northern CA ,CAN ,2 
106,"ASSADOURIAN, Nouneh",B17 ,SOUTHCFC ,Southern CA ,ARM ,2 
107,"FLOYD, Julee",C17 / 74 ,SAS ,Western WA ,USA ,1 
108,"TOBY, Natalia",A17 / 41 ,,New Jersey ,USA ,1 
109,"MARTUS, Cosima",A17 / 73 ,NORCOLO ,Colorado ,USA ,1 
110,"BELAOUSSOFF, Kira",C17 ,,,CAN ,1 
111,"AMADOR, Marta",C16 ,NOWESTU ,Illinois ,ESP ,1 
112,"PECELI, Juliana",B15 ,,Mt. Valley ,USA ,1 
113,"KORNGUTH, Lindsay",B16 ,EBFG ,Northern CA ,USA ,1 
114,"KRICK, Olivia",B17 ,OLYMPIANFC ,South TX ,USA ,1 
115,"KULKARNI, Diya",C17 ,MEDEO F.C. ,New Jersey ,USA ,1 
116,"LAMBERT, Jasmine",B16 ,DFC ,Colorado ,USA ,1 
117,"GIFFORD, Emily",B14 ,ALLEZ FENCING ,Southern CA ,USA ,1 
118,"YANG, Grace",B17 ,LAIFC ,Southern CA ,USA ,1 
119T,"PYO, Yunice",B16 ,DCFC ,Capitol ,USA ,0 
119T,"GAO, Aretha",B16 ,LAIFC ,Southern CA ,USA ,0 
121,"LANZMAN, Anna",B16 / 60 ,NYFA ,Metro NYC ,USA ,0 
122,"BUVARP, Elisabeth",B17 ,FRFC ,Colorado ,USA ,0 
123,"KAUR, Simarpreet",C16 ,WEST BERKELEY FENCING ,Northern CA ,USA ,0 
124,"LEE, Hanna",A17 / 15 ,BB-FC / LAIFC ,Nevada ,USA ,0 
125,"PRIMES, Amanda",C17 ,LAIFC ,Southern CA ,USA ,0 
126,"IGOE, Nirali",C17 ,DCFC ,Capitol ,USA ,0 
