81,"Copelan, Maria",NWFC ,Oregon ,USA ,B17 ,
82,"Haskel, Darby",DFC ,Colorado ,USA ,C17 ,
83,"Bindas, Blodwen",DFA / ATLANTIC F.A. ,New Jersey ,USA ,B17 ,
84,"Gill, Kaitlyn",FAW ,New Jersey ,USA ,B17 ,
85,"Beddingfield, Catherine",LAIFC ,Southern CA ,USA ,A16 ,
86,"Leighton, Eleanor",E.D.L. ,Indiana ,USA ,A17 ,
87,"Reckling, Kathleen",FENCERS ,West-Rock ,USA ,C17 ,
88T,"Vera, Kalista",MYFENCINGCENTER ,North Coast ,USA ,B16 ,
88T,"Kang, Dahyun",PENTA ,Virginia ,USA ,C17 ,
90,"Yang, Grace",LAIFC ,Southern CA ,USA ,B17 ,
91,"Floyd, Julee",SAS ,Western WA ,USA ,C17 ,
92,"Igoe, Nirali",PENTA / DCFC ,Capitol ,USA ,C17 ,
93,"Buckingham, Emma",NCFDP / MID-SOUTH ,N. Carolina ,USA ,C17 ,
94,"Harkness, Anya",UNAT / AFM ,Central CA ,USA ,A16 ,
95,"Rath, Lauren",EBFG ,Northern CA ,USA ,B16 ,
96,"Shepard, Jazzy",ORION ,Oregon ,USA ,A17 ,
97,"Lawson, Marie",DCFC / BALTI. F.C. ,Capitol ,USA ,A16 ,
98,"Barna, Isabella",NWFC ,Oregon ,USA ,B15 ,
99,"Belaoussoff, Kira",,,CAN ,C17 ,
100,"Gupta, Ananya",WCFA ,Illinois ,USA ,B15 ,
101,"Allen, Susan",NOVA FENCING ,Virginia ,USA ,C17 ,
102,"Ross, Naomi",CFSMPC ,Colorado ,USA ,A17 ,
103,"Kimura, Kimberley",LAIFC ,Southern CA ,USA ,B17 ,
104,"Cano-Diosa, Rosa",SDFC ,San Diego ,ESP ,B17 ,
105T,"Myers, Helen Sophia",SWORDS / ALLEZ FENCING ,San Bern'do ,USA ,C17 ,
105T,"Kim, Natalie",WCFA ,Illinois ,USA ,B17 ,
107,"Chicoine, Kaley",EUGENE ,Oregon ,USA ,B17 ,
108,"Dolgonos, Melanie",NYFA ,Metro NYC ,USA ,B17 ,
109,"Brum, Lauren",BALTI. F.C. ,Capitol ,USA ,B17 ,
110,"Jacobs-Hinton, Inez",PANTHERS ,Philadelphia ,USA ,C17 ,
111,"Barr, Abigail",RAIN CITY ,Western WA ,USA ,C17 ,
112,"Lambert, Jasmine",DFC ,Colorado ,USA ,B16 ,
113,"Fredendall, Susan",SAS ,Western WA ,USA ,B17 ,
114T,"Gordet, Cristina",SFFC ,Gold Coast ,USA ,B17 ,
114T,"Mohabir, Ariane",AFM ,Central CA ,USA ,C17 ,
116,"Lee, Caroline",NWFC ,Oregon ,USA ,B17 ,
117,"DiDonato, Gianina",BAY STATE ,New England ,USA ,C17 ,
118T,"Kwon, Caroline",EFCA ,Georgia ,USA ,C17 ,
118T,"Provenza, Hannah",MARX FENCING / BAY STATE ,New England ,USA ,A15 ,
120,"Primes, Amanda",LAIFC ,Southern CA ,USA ,C17 ,
121,"Rabel, Brenna",BCAF ,New Jersey ,USA ,B17 ,
122,"Weiss, Talia",ALLIANCE F.A. ,Gulf Coast ,USA ,C17 ,
123,"Albert, Devika",BOSTN FNCNG. CLB. ,New England ,USA ,C16 ,
124,"Gao, Aretha",LAIFC ,Southern CA ,USA ,B16 ,
125,"Vlassova, Anastasia",TOUCHE ,Central CA ,USA ,B15 ,
126,"Haberkern, Kundry",SAS ,Western WA ,USA ,B17 ,
