45,"Gao, Emily",A17 / 94 ,NORTHSFC ,Long Island ,USA ,3 ,0.50 ,21 ,24 ,-3 ,Advanced
46T,"Tao, Olivia",C18 ,ALLIANCE F.A. ,Gulf Coast ,USA ,3 ,0.50 ,17 ,21 ,-4 ,Advanced
46T,"Mo, Victoria",A15 / 28 ,NYAC ,Orange Coast ,USA ,3 ,0.50 ,17 ,21 ,-4 ,Advanced
48,"O'Donnell, Amanda",C17 ,WCFA ,Illinois ,USA ,3 ,0.50 ,16 ,20 ,-4 ,Advanced
49,"Sheffield, Lake Mawu",A17 / 18 ,PETERWE / FENCERS ,Metro NYC ,USA ,2 ,0.40 ,18 ,13 ,+5 ,Advanced
50,"Van Riper, Katharine",B16 / 104 ,NOWESTU / DUNWOODY ,Illinois ,USA ,2 ,0.40 ,20 ,16 ,+4 ,Advanced
51,"Yun, Audrey",A14 / 56 ,COLUMBF / LAIFC ,Southern CA ,USA ,2 ,0.40 ,20 ,18 ,+2 ,Advanced
52,"Kain, Isabel",A17 / 61 ,OLYMPIA F. C. ,New England ,USA ,2 ,0.40 ,19 ,19 ,0 ,Advanced
53,"Park, Faith",B18 / 109 ,PENTA ,Virginia ,USA ,2 ,0.40 ,17 ,19 ,-2 ,Advanced
54T,"Papadopoulos, Maria",A17 ,UNAT / DUKEUNIVFC ,Virginia ,USA ,2 ,0.40 ,16 ,18 ,-2 ,Advanced
54T,"Komar, Sofia",A18 ,MEDEO F.C. ,New Jersey ,USA ,2 ,0.40 ,16 ,18 ,-2 ,Advanced
56,"Daniel, Chloe",A17 / 14 ,FORTUNE ,Southern CA ,USA ,2 ,0.40 ,18 ,21 ,-3 ,Advanced
57,"Eno, Megan",A18 / 26 ,NWFC ,Oregon ,USA ,2 ,0.40 ,15 ,19 ,-4 ,Advanced
58,"Leighton, Eleanor",A17 / 69 ,E.D.L. ,Indiana ,USA ,2 ,0.40 ,17 ,22 ,-5 ,Advanced
59,"Tanibajeva, Rachel",A17 / 22 ,PETERWE / FENCERS ,Metro NYC ,USA ,2 ,0.40 ,15 ,20 ,-5 ,Advanced
60,"Kim, Natalie",B17 / 110 ,WCFA ,Illinois ,USA ,2 ,0.40 ,17 ,23 ,-6 ,Advanced
61,"Khamis, Yasmine",B18 ,NTFA ,North TX ,USA ,2 ,0.40 ,15 ,23 ,-8 ,Advanced
62,"Pirkowski, Amanda",A16 / 29 ,STOCCATAFAC ,Central FL ,USA ,2 ,0.33 ,21 ,22 ,-1 ,Advanced
63T,"Lurye, Sarah",A17 / 44 ,WCFA ,Illinois ,USA ,2 ,0.33 ,22 ,24 ,-2 ,Advanced
63T,"Gill, Kaitlyn",B17 ,FAW ,New Jersey ,USA ,2 ,0.33 ,22 ,24 ,-2 ,Advanced
65,"Tyler, Syd",B18 ,WCFA ,Illinois ,USA ,2 ,0.33 ,20 ,22 ,-2 ,Advanced
66,"Krick, Olivia",B17 ,OLYMPIANFC ,South TX ,USA ,2 ,0.33 ,22 ,27 ,-5 ,Advanced
67,"Paul, Anna",B16 / 94 ,IFC ,Illinois ,USA ,2 ,0.33 ,18 ,24 ,-6 ,Advanced
68,"Khaw, Kristina",B17 ,MEDEO F.C. ,New Jersey ,USA ,2 ,0.33 ,18 ,25 ,-7 ,Advanced
69,"Scala, Emma",A18 / 105 ,GOLD GATE ,Northern CA ,USA ,1 ,0.20 ,16 ,19 ,-3 ,Eliminated
70,"Adragna, Olivia",B18 ,NORTHSFC ,Long Island ,USA ,1 ,0.20 ,19 ,23 ,-4 ,Eliminated
71,"Phillips, Summer",A16 / 59 ,WOODLANDS ,Gulf Coast ,USA ,1 ,0.20 ,16 ,20 ,-4 ,Eliminated
72,"Beittel, Chloe",A17 / 106 ,EBFG ,Northern CA ,USA ,1 ,0.20 ,17 ,22 ,-5 ,Eliminated
73,"Bindas, Blodwen",B17 / 49 ,DURKAN / ATLANTIC F.A. ,New Jersey ,USA ,1 ,0.20 ,14 ,23 ,-9 ,Eliminated
74T,"Quinlan, Nicole",B17 / 91 ,WLPTFC ,Northeast PA ,USA ,1 ,0.17 ,22 ,28 ,-6 ,Eliminated
74T,"Kimura, Kimberley",B18 ,LAIFC ,Southern CA ,USA ,1 ,0.17 ,22 ,28 ,-6 ,Eliminated
76,"Chu, Audrey",B17 ,AFM ,Central CA ,USA ,1 ,0.17 ,15 ,25 ,-10 ,Eliminated
77,"Shamsian, Shaya",B17 / 96 ,LAIFC ,Southern CA ,USA ,1 ,0.17 ,14 ,24 ,-10 ,Eliminated
78,"Husisian, Hadley",A17 / 90 ,FSA ,Virginia ,USA ,1 ,0.17 ,16 ,27 ,-11 ,Eliminated
79,"Dolgonos, Melanie",B17 / 102 ,NYFA ,Metro NYC ,USA ,1 ,0.17 ,16 ,28 ,-12 ,Eliminated
80,"Harkness, Anya",A16 / 84 ,NOWESTU / AFM ,Central CA ,USA ,1 ,0.17 ,16 ,29 ,-13 ,Eliminated
81,"Canales, Daniela",B17 ,NTFA ,North TX ,USA ,1 ,0.17 ,14 ,28 ,-14 ,Eliminated
82,"Pyo, Yunice",B16 ,DCFC ,Capitol ,USA ,1 ,0.17 ,13 ,27 ,-14 ,Eliminated
83,"Paturu, Meghana",B18 ,MEDEO F.C. ,New Jersey ,USA ,1 ,0.17 ,13 ,29 ,-16 ,Eliminated
84,"Desamours, Sabine",C18 ,FENCERS / PETERWE ,Virginia ,USA ,0 ,0.00 ,20 ,30 ,-10 ,Eliminated
85,"Kulkarni, Diya",B17 / 116 ,MEDEO F.C. ,New Jersey ,USA ,0 ,0.00 ,14 ,25 ,-11 ,Eliminate
