78T,"Yergler, Jonathan",NYAC / SFLORIDAFC ,Metro NYC ,USA ,A15 ,
78T,"Spiteri, Gareth",NYAC ,New Jersey ,USA ,A17 ,
80,"Nollner, Dylan",NYAC ,Metro NYC ,USA ,A16 ,
81,"Elgeziry, Omar",FRONTRANGEFC ,Colorado ,USA ,A14 ,
82,"Zhao, Howard",,,CHN ,A18 ,
83T,"Smith, William",ALLIANCEFA ,Gulf Coast ,USA ,B18 ,
83T,"Zheng, Hagen",OLYMPIAFC ,New England ,USA ,A17 ,
85,"Popovici, Michael",PRINCETONU / ALLIANCEFA ,Gulf Coast ,USA ,A15 ,
86,"Bratton, Benjamin",PWESTBROOK ,Metro NYC ,USA ,A18 ,
87,"Shifron, Daniel",TEAMTOUCHEFC ,San Diego ,USA ,A18 ,
88,"Johnson, Wesley",SCHLHOUSEFEN / PRINCETONU ,Utah-S.Idaho ,USA ,A17 ,
89,"Gornovsky, David",,,CAN ,A17 ,
90,"Kushnerik, Ethan",NYAC ,Metro NYC ,USA ,A18 ,
91,"Moore, Shomari",PWESTBROOK ,Metro NYC ,USA ,A18 ,
92,"Petroll, Jared",GOLDBLADEFC ,North TX ,USA ,A18 ,
93,"Moosekian, Stafford",SWORDSFS ,Southern CA ,USA ,B18 ,
94,"Zilinskiy, Eduard",LECLUBTOUCHE / TEAMTOUCHEFC ,Central CA ,USA ,A17 ,
95,"Wilson, Sean",ALLIANCEFA ,Capitol ,USA ,A18 ,
96T,"Bissinger, Michael",ALLIANCEFA ,Gulf Coast ,USA ,A18 ,
96T,"House, Alex",FENCERSCLUB ,New Jersey ,USA ,A17 ,
98,"Zhang, Joshua",NYAC ,Long Island ,USA ,A18 ,
99T,"Miller, Finn",MEDEOFC ,New Jersey ,USA ,A18 ,
99T,"Cole, Elias",NYAC ,West-Rock ,USA ,A16 ,
101T,"Lombardo, Theodore",NYAC / FAW ,West-Rock ,USA ,A18 ,
101T,"Kim, Derek",FSA INC ,Virginia ,USA ,A18 ,
103,"Munlin, Donovan",PREMFENCALL ,Georgia ,USA ,A18 ,
104,"Kumashi, Mihir",ALLIANCEFA ,Gulf Coast ,USA ,B17 ,
105,"Kimatian, Harrison",HOOKEDOFENC ,North TX ,USA ,A17 ,
106,"Watson, Adam",NYAC ,Metro NYC ,USA ,A15 ,
107,"Park, Thomas Junseo",BATTLEBORNFC ,Southern CA ,CAN ,A17 ,
108,"Zeller, Zachary",NOTREDAME ,Nevada ,USA ,A16 ,
109,"Tafoya, Devin",NCOFENCERS / DENVERFC ,Colorado ,USA ,A18 ,
110,"Keller, Kai-Moritz",NYAC ,Metro NYC ,USA ,A16 ,
111,"Ra, Daniel",FENCERSCLUB ,West-Rock ,USA ,A18 ,
112,"Lee, Woosuk",FSA INC ,Virginia ,USA ,A18 ,
113,"Geraghty, Michael",IMASTERS ,Georgia ,IRL ,A18 ,
114T,"Bogert, Alexander BRYCE",,Gateway FL ,USA ,A18 ,
114T,"Elsayed, Mohamed",,,EGY ,B14 ,
116,"Mechkov, Iliya",BAY STATE ,Illinois ,BUL ,A18 ,
117,"Lee, Aaron",BATTLEBORNFC / LAIFC ,Nevada ,USA ,A18 ,
118T,"Cox, Matthew",,National ,USA ,B14 ,
118T,"Neu, Matthew",DCFENCERS ,Capitol ,USA ,A17 ,
120,"Yoon, Sungho",FSA INC ,Virginia ,USA ,A18 ,
121,"Nair, Tarun",ALLIANCEFA ,Gulf Coast ,USA ,A17 ,
122,"Ajnsztajn, Alec",DUKEUNIVNCAA / MEDEOFC ,New Jersey ,,A17 ,
123,"Werrell, Jack",MORRISFC ,New Jersey ,USA ,A18 ,
124,"Zwegers, Alexander",,,CAN ,B18 ,
125,"Beach, Nicholas",FOOTHILLSFA ,S. Carolina ,USA ,C18 ,
126,"Bell, Jack",NYFA ,,GBR ,B17 ,
127,"Mancini, Christopher",ISLANDFC ,Long Island ,USA ,B17 ,
128,"Abdallah, Ahmed",,New Jersey ,EGY ,A14 ,
129,"Yu, Colin",MARXFENCING ,New England ,USA ,A18 ,
130,"Koch, Samuel",BROWNUNCAA / GOLDENGATEFC ,Northern CA ,USA ,A18 ,
131,"Nguyen, Ethan",BATTLEBORNFC ,Nevada ,USA ,A18 ,
132,"Brewer, Andrew",AFM / EBFG ,Southern CA ,USA ,A18 ,
133,"Post, Jason",FENCERSCLUB ,Metro NYC ,USA ,A17 ,
134,"Grams, Steven",NORTHSHOREFC ,Long Island ,CAN ,A17 ,
135,"Matveev, Valentin",BATTLEBORNFC ,Nevada ,USA ,A17 ,
136,"Dinkins, Ramadan",WNDYCTYCHICG ,Illinois ,USA ,A18 ,
137,"Tae, William",PENTAOLYFC ,Virginia ,USA ,B18 ,
138T,"Sjostedt, Jacob",TIGERZFA / FENCERSCLUB ,Philadelphia ,USA ,B18 ,
138T,"Dorati, Arturo",SFLORIDAFC ,,PAN ,B14 ,
140,"Shirey, Daniel",IMASTERS / PREMFENCALL ,Georgia ,USA ,A17 ,
141,"Kim, Yunwoo",,New England ,KOR ,A16 ,
142T,"Mun, Michael",LAIFC ,Orange Coast ,USA ,A18 ,
142T,"Stott, Donovan",ROCHESTERFC ,Western NY ,USA ,A18 ,
144,"Li, Jason Man Kit",,,CAN ,B17 ,
145,"Frank, Timmy",NWFENCINGCTR ,Oregon ,USA ,A18 ,
146,"Ma, Ark",ALLIANCEFA ,Gulf Coast ,USA ,A17 ,
147,"Ji, Victor",,,CAN ,B17 ,
148,"Lim, Timothy",,National ,USA ,B16 ,
149,"Haider, Syed Mikail",IMASTERS ,Georgia ,USA ,A17 ,
150,"Xu, Zitong (Evan)",ALLIANCEFA ,Gulf Coast ,USA ,B18 ,
151,"Mu, Lejia",,,CAN ,B18 ,
152,"Wallace, Jimmy",DUNWOODYFC / VATECHUNIV ,Georgia ,USA ,B16 ,
153,"Suvorov, Yuly",SAS / WFA ,Western WA ,USA ,A16 ,
154,"Comer, Daniel",FORTUNE ,Southern CA ,USA ,C18 ,
155,"Vinnitchouk, Ted",,,CAN ,B18 ,
156,"Sallembien, Nicolas",AFM ,Central CA ,USA ,A18 ,
157,"Bekker, Samuel",NYU / NYFA ,Metro NYC ,USA ,A18 ,
158,"Eltawil, Amr",,,EGY ,B14 ,
159,"AL-Tayeb, Ahmed",OSUNCAA ,Columbus OH ,KSA ,B18 ,
