80,"Spiteri, Gareth",NYAC ,New Jersey ,USA ,A17 ,
81,"Hanahan, Nicholas",UNAT / NOTREDAME ,Indiana ,USA ,A17 ,
82,"Bradford, Jack",OSU VARSITY FENCING TEAM ,Columbus OH ,USA ,A18 ,
83,"Keller, Kai-Moritz",NYAC ,Metro NYC ,USA ,A16 ,
84,"Bissinger, Michael",ALLIANCE F.A. ,Gulf Coast ,USA ,A18 ,
85,"Wieder, Benjamin",NYAC / MEDEO F.C. ,New Jersey ,USA ,B17 ,
86,"Suvorov, Yuly",SAS ,Western WA ,USA ,A16 ,
87,"Nair, Tarun",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
88,"Lawson, Nicholas",FENCERS ,Metro NYC ,USA ,A18 ,
89,"Matveev, Valentin",BB-FC ,Nevada ,USA ,A17 ,
90,"Cho, Jonah",LAIFC ,Southern CA ,USA ,A17 ,
91,"Santos, Cameron",VIVO FENCING / MARX FENCING ,New England ,USA ,A17 ,
92,"Dolgonos, Mark",NYFA ,Metro NYC ,USA ,A17 ,
93,"Cullen, Daniel",TWORAVENS ,Northern OH ,USA ,A17 ,
94,"Thein-Sandler, Adrien",LAIFC ,Southern CA ,USA ,A17 ,
95,"Haddad, Justin",DCFC ,Capitol ,USA ,A18 ,
96,"Campbell, Daniel",FSA ,Virginia ,USA ,A18 ,
97,"Khayat, Ziad",U.C.S.D. / EBFG ,Central CA ,USA ,A18 ,
98,"Chao, Kevin",LAIFC ,Southern CA ,USA ,A16 ,
99,"Tepedelenlioglu, Mehmet",EBFG ,Northern CA ,USA ,A18 ,
100,"Sless, Alexander",UNAT / UIW FENCING CENTER ,South TX ,USA ,A17 ,
101,"Stepien, Marek",JR TITAN FENCING ,Illinois ,USA ,A16 ,
102,"Banyon-Mrak, Aiden",MEDEO F.C. ,New Jersey ,USA ,A17 ,
103,"Kumashi, Mihir",ALLIANCE F.A. ,Gulf Coast ,USA ,B17 ,
104,"Kambeseles, Peter",NYFA ,Metro NYC ,USA ,C18 ,
105,"Petroll, Jared",GBFC ,North TX ,USA ,A18 ,
106,"Soderberg, Alex",TEAMTOUCHE ,San Diego ,USA ,A17 ,
107,"McKinley, Liam",LIFC ,Virginia ,USA ,A17 ,
108,"Cha, Russell",TOP F.C. ,New Jersey ,USA ,B18 ,
109,"Gana, Thomas",ATLANTIC F.A. ,New Jersey ,USA ,A17 ,
110,"Lauron, Sean",LAIFC / OSU VARSITY FENCING TEAM ,San Bern'do ,USA ,A18 ,
111,"Bennion, Michael",SF ,Utah-S.Idaho ,USA ,B16 ,
112,"Bekker, Samuel",NYU ,Metro NYC ,USA ,A18 ,
113,"Dinkins, Ramadan",WCFA ,Illinois ,USA ,A18 ,
114,"Kang, Michael",ROCKLAND FENCERS ,New Jersey ,USA ,B18 ,
