45,"WEINSTEIN, Connor",A14 / 85 ,MARX FENCING / NWFC ,New England ,USA ,5 ,0.83 ,25 ,13 ,+12 ,Advanced
46T,"TIERNEY, David",A17 ,NAPLES FA ,Central FL ,USA ,5 ,0.83 ,29 ,18 ,+11 ,Advanced
46T,"LU, Kerry",A17 / 84 ,SANFRANFC ,Northern CA ,USA ,5 ,0.83 ,29 ,18 ,+11 ,Advanced
48,"LEVIN, Nestor",A17 / 81 ,FAW ,West-Rock ,USA ,5 ,0.83 ,28 ,17 ,+11 ,Advanced
49,"GAZIANO, William",A16 ,MEDEO F.C. / OSU VARSITY FENCING TEAM ,New Jersey ,USA ,5 ,0.83 ,27 ,16 ,+11 ,Advanced
50,"ORTS, Lucas",A17 / 17 ,M TEAM ,Northern CA ,USA ,5 ,0.83 ,28 ,19 ,+9 ,Advanced
51,"MITBERG, Gregory",A17 / 27 ,MARX FENCING / NWFC ,New England ,USA ,5 ,0.83 ,27 ,18 ,+9 ,Advanced
52,"HOLMES, Andrew",A17 ,MISSION F.C. ,Long Island ,USA ,5 ,0.83 ,26 ,17 ,+9 ,Advanced
53T,"SCARPA, Ryan",A17 / 91 ,5TFC ,Long Island ,USA ,5 ,0.83 ,27 ,19 ,+8 ,Advanced
53T,"SHIN, Philip",A15 / 15 ,NYU / FENCERS ,Metro NYC ,USA ,5 ,0.83 ,27 ,19 ,+8 ,Advanced
55,"CHEN, James",A17 ,FENCERS ,Connecticut ,USA ,5 ,0.83 ,27 ,20 ,+7 ,Advanced
56,"KHAZBAK, Hazem",A17 / 42 ,NOTREDAME / BLUEGRASS ,Kentucky ,EGY ,4 ,0.80 ,24 ,11 ,+13 ,Advanced
57,"PRILUTSKY, David",B17 ,PREMIERFC / MANHATTAN ,New Jersey ,USA ,4 ,0.80 ,24 ,18 ,+6 ,Advanced
58,"OSTATNIGROSH, Andrey",A14 / 69 ,PSU / FRESNO ,Mt. Valley ,USA ,4 ,0.67 ,28 ,16 ,+12 ,Advanced
59,"CHEN, Raymond",A15 / 53 ,FIT / PENN ,North TX ,USA ,4 ,0.67 ,27 ,17 ,+10 ,Advanced
60,"UPBIN, William",A17 ,BROKLN BRIDG. F.C. / PENN ,Metro NYC ,USA ,4 ,0.67 ,25 ,15 ,+10 ,Advanced
61,"HADLER, Benjamin",B17 ,SANFRANFC ,Northern CA ,USA ,4 ,0.67 ,27 ,18 ,+9 ,Advanced
62T,"BONTEMS, Pierre-Olivier",B17 / 37 ,UNAT / TOUCHE ,Central CA ,CAN ,4 ,0.67 ,26 ,17 ,+9 ,Advanced
62T,"ALLEN, Cameron",A15 / 36 ,UNAT / FENCERS ,Philadelphia ,USA ,4 ,0.67 ,26 ,17 ,+9 ,Advanced
64,"DORITY, Philip",B17 ,BLUEGRASS ,Kentucky ,USA ,4 ,0.67 ,24 ,15 ,+9 ,Advanced
65T,"HOSSFELD, Finn",A17 ,FAW ,West-Rock ,USA ,4 ,0.67 ,27 ,19 ,+8 ,Advanced
65T,"KANESHIGE, Brian",A17 / 8 ,DURKAN ,New Jersey ,USA ,4 ,0.67 ,27 ,19 ,+8 ,Advanced
67,"BOURTIS, James",A16 / 54 ,RCHSTER ,Western NY ,USA ,4 ,0.67 ,26 ,18 ,+8 ,Advanced
68,"ZAROFF, Leo",A16 / 34 ,SANFRANFC ,Northern CA ,USA ,4 ,0.67 ,25 ,17 ,+8 ,Advanced
69T,"KATAYAMA, Kevin",A17 ,AIFENCING / PREMIERFC ,New Jersey ,USA ,4 ,0.67 ,27 ,20 ,+7 ,Advanced
69T,"JACKSON, Malcolm",A17 ,MANHATTAN ,Metro NYC ,USA ,4 ,0.67 ,27 ,20 ,+7 ,Advanced
71,"RUFFNER, Blake",B17 ,FIT ,North TX ,USA ,4 ,0.67 ,26 ,19 ,+7 ,Advanced
72T,"HUANG, Bin",A17 / 107 ,IFA ,New England ,USA ,4 ,0.67 ,25 ,18 ,+7 ,Advanced
72T,"KAISER, Hans",A17 / 40 ,RENFENC ,Michigan ,USA ,4 ,0.67 ,25 ,18 ,+7 ,Advanced
72T,"BLUTT, Emerson",B16 ,MANHATTAN ,Metro NYC ,USA ,4 ,0.67 ,25 ,18 ,+7 ,Advanced
72T,"CONDIFF, Noah",A16 ,ZFA ,Philadelphia ,USA ,4 ,0.67 ,25 ,18 ,+7 ,Advanced
76T,"YU, Eric",A17 ,LAIFC ,Southern CA ,USA ,4 ,0.67 ,24 ,17 ,+7 ,Advanced
76T,"GRONNINGSATER, Eoin",A17 / 35 ,BROKLN BRIDG. F.C. / DUKEUNIVFC ,Metro NYC ,USA ,4 ,0.67 ,24 ,17 ,+7 ,Advanced
78,"ALVEAR, felipe",A17 ,,,CHI ,4 ,0.67 ,25 ,19 ,+6 ,Advanced
79,"LITLE, Elishua",A17 ,BRANDEIS ,New England ,ISR ,4 ,0.67 ,23 ,17 ,+6 ,Advanced
80,"HOWARD, Brian",A14 ,U.C.S.D. / M TEAM ,Northern CA ,USA ,4 ,0.67 ,27 ,22 ,+5 ,Advanced
81,"COLON, Cesar",A17 ,,,PUR ,4 ,0.67 ,25 ,20 ,+5 ,Advanced
82,"GRUBER, Samuel",A17 ,MOE FC ,New England ,USA ,4 ,0.67 ,24 ,19 ,+5 ,Advanced
83T,"NDIAYE, Edriss",B17 / 108 ,,Capitol ,USA ,4 ,0.67 ,23 ,18 ,+5 ,Advanced
83T,"EVANS, Cameron",B17 ,FAW ,Connecticut ,USA ,4 ,0.67 ,23 ,18 ,+5 ,Advanced
83T,"LOUIE, Bryce",A17 / 80 ,LAIFC ,Southern CA ,USA ,4 ,0.67 ,23 ,18 ,+5 ,Advanced
86,"LUTAR, Lucas",A17 ,FAW ,Huds-Berks ,USA ,4 ,0.67 ,24 ,20 ,+4 ,Advanced
87,"YU, Nathan",A16 ,PREMIERFC ,New Jersey ,USA ,4 ,0.67 ,25 ,22 ,+3 ,Advanced
88,"KNIGHT, Ethan",A17 ,SILICONVALLEYFCTR ,Central CA ,USA ,4 ,0.67 ,22 ,19 ,+3 ,Advanced
89,"REID, Clayton",B17 / 116 ,SANFRANFC ,Northern CA ,USA ,4 ,0.67 ,21 ,18 ,+3 ,Advanced
90T,"JEON, Nathan",A16 / 68 ,SILICONVALLEYFCTR ,Central CA ,USA ,4 ,0.67 ,24 ,22 ,+2 ,Advanced
90T,"SNYTSHEUVEL, John Evan",A16 ,GOLUBITSKY ,Orange Coast ,USA ,4 ,0.67 ,24 ,22 ,+2 ,Advanced
92,"ZHANG, zhenggang",C17 ,,,SGP ,4 ,0.67 ,23 ,21 ,+2 ,Advanced
93,"MEMANI, Apurva",B17 / 71 ,V FENCING ,New Jersey ,USA ,4 ,0.67 ,24 ,23 ,+1 ,Advanced
94,"KOECK, Tomas",A16 ,BROKLN BRIDG. F.C. / PSU ,Connecticut ,USA ,4 ,0.67 ,22 ,21 ,+1 ,Advanced
95,"AHN, Aaron",A14 ,GOLUBITSKY ,Southern CA ,USA ,4 ,0.67 ,23 ,23 ,0 ,Advanced
96,"SPIRLI, Francesco",B17 ,SILVER CITY / FAIRFIELD FENCING ,Connecticut ,USA ,4 ,0.67 ,21 ,22 ,-1 ,Advanced
97,"LIU, Patrick",A17 ,IFA ,New England ,CAN ,3 ,0.60 ,21 ,14 ,+7 ,Advanced
98,"ZHENG, Andrew",A17 / 45 ,FENCERS ,Long Island ,USA ,3 ,0.60 ,20 ,14 ,+6 ,Advanced
99,"WISE, William",A17 ,NWFC ,Oregon ,USA ,3 ,0.60 ,21 ,17 ,+4 ,Advanced
100,"LEVY, Jasper",A17 / 46 ,BROKLN BRIDG. F.C. ,Long Island ,USA ,3 ,0.60 ,19 ,15 ,+4 ,Advanced
101,"EMMER, Chase",A17 ,V FENCING ,New Jersey ,USA ,3 ,0.60 ,20 ,17 ,+3 ,Advanced
102,"BRATTON, Jack",A17 ,FIT ,North TX ,USA ,3 ,0.60 ,19 ,19 ,0 ,Advanced
103,"PARKINS, Benjamin",A14 / 99 ,AUSTIN F.C. ,South TX ,USA ,3 ,0.50 ,25 ,17 ,+8 ,Advanced
104,"GRIFFITH, Jordan",A16 / 90 ,USAFA ,Colorado ,USA ,3 ,0.50 ,26 ,19 ,+7 ,Advanced
105,"WANG, Brian",A17 ,MARX FENCING ,New England ,USA ,3 ,0.50 ,25 ,18 ,+7 ,Advanced
106,"ALVEAR, Pablo Anibal",A17 ,,Metro NYC ,CHI ,3 ,0.50 ,24 ,18 ,+6 ,Advanced
107,"MCKENNA, Joseph",A17 / 109 ,DURKAN ,Philadelphia ,USA ,3 ,0.50 ,23 ,17 ,+6 ,Advanced
108T,"QUIN, Ian",B16 ,BRANDEIS / GUTKOVSKIY ,New Jersey ,USA ,3 ,0.50 ,26 ,21 ,+5 ,Advanced
108T,"ZILINSKIY, Eduard",B15 / 70 ,TOUCHE / TEAMTOUCHE ,Central CA ,USA ,3 ,0.50 ,26 ,21 ,+5 ,Advanced
110,"IVERSON, Shane",A16 / 67 ,V FENCING / PSU ,New Jersey ,USA ,3 ,0.50 ,25 ,20 ,+5 ,Advanced
111,"CHIANG, Will",B16 / 74 ,MARX FENCING ,New England ,USA ,3 ,0.50 ,26 ,22 ,+4 ,Advanced
112,"CAI, Alex",A17 ,,,CAN ,3 ,0.50 ,25 ,21 ,+4 ,Advanced
113T,"PADUA, Carlos",A17 ,,,PUR ,3 ,0.50 ,24 ,20 ,+4 ,Advanced
113T,"PAIK, Hyun",A17 ,FENCERS ,New Jersey ,USA ,3 ,0.50 ,24 ,20 ,+4 ,Advanced
113T,"JALOWICA, Brandon",B17 ,,Western NY ,CAN ,3 ,0.50 ,24 ,20 ,+4 ,Advanced
116T,"LI, Brian",A17 ,MARX FENCING ,New England ,USA ,3 ,0.50 ,25 ,22 ,+3 ,Advanced
116T,"LAKEHAL-AYAT, Anil",B16 ,BACK ALLEY / RCHSTER ,Western NY ,ALG ,3 ,0.50 ,25 ,22 ,+3 ,Advanced
118,"CHU, Aidan",A15 / 59 ,U.C.S.D. ,Northern CA ,USA ,3 ,0.50 ,25 ,23 ,+2 ,Advanced
119T,"POLANSKY, Solomon",B17 ,JHOPKINSU. ,Minnesota ,USA ,3 ,0.50 ,24 ,22 ,+2 ,Advanced
119T,"MEGAT ZARIMAN, Megat Zuhril",B16 ,U.C.S.D. / TEAMTOUCHE ,San Diego ,MAS ,3 ,0.50 ,24 ,22 ,+2 ,Advanced
119T,"CARLICK, Benjamin",B17 ,BROKLN BRIDG. F.C. ,Metro NYC ,USA ,3 ,0.50 ,24 ,22 ,+2 ,Advanced
122,"HEER, Damanjit",B17 ,SILICONVALLEYFCTR ,Central CA ,USA ,3 ,0.50 ,23 ,21 ,+2 ,Advanced
123,"KNODT, Julian",A16 / 51 ,M TEAM / PRNCTONU. ,Central CA ,USA ,3 ,0.50 ,22 ,20 ,+2 ,Advanced
124T,"DUNAT, Maximilian (Max)",B17 ,5TFC ,Long Island ,USA ,3 ,0.50 ,21 ,19 ,+2 ,Advanced
124T,"SHAFAIE, Ali",B17 ,FREEHOLD ,New Jersey ,USA ,3 ,0.50 ,21 ,19 ,+2 ,Advanced
126,"KANG, Joshua",A17 ,PRECISION AFC ,Orange Coast ,USA ,3 ,0.50 ,23 ,22 ,+1 ,Advanced
127,"KOZAK, Mateusz",A16 ,,,CAN ,3 ,0.50 ,22 ,21 ,+1 ,Advanced
128,"TICHACEK, Matthew",A17 ,FENCERS / NOTREDAME ,New Jersey ,USA ,3 ,0.50 ,25 ,25 ,0 ,Advanced
129,"CHANG, Jason",A16 / 48 ,TOUCHE / PENN ,Central CA ,USA ,3 ,0.50 ,24 ,24 ,0 ,Advanced
130,"FIELD, Miles",A17 ,BROKLN BRIDG. F.C. ,Metro NYC ,USA ,3 ,0.50 ,22 ,22 ,0 ,Advanced
131T,"DIVENTI, Paul",B17 ,HOMEWD F.C. ,Maryland ,USA ,3 ,0.50 ,21 ,21 ,0 ,Advanced
131T,"ADAMS, Luke",C17 ,SILICONVALLEYFCTR ,Central CA ,USA ,3 ,0.50 ,21 ,21 ,0 ,Advanced
131T,"PALAZZOLO, William",A17 ,5TFC ,Long Island ,USA ,3 ,0.50 ,21 ,21 ,0 ,Advanced
134,"DESHMUKH, Parth",A15 ,EFCA ,Georgia ,USA ,3 ,0.50 ,20 ,20 ,0 ,Advanced
135,"RADU, Andrew",A15 ,FSA ,Long Island ,USA ,3 ,0.50 ,19 ,19 ,0 ,Advanced
