78,"ALLEN, Cameron",UNAT / FENCERS ,Philadelphia ,USA ,A15 ,
79,"DORITY, Philip",BLUEGRASS ,Kentucky ,USA ,B17 ,
80,"HOSSFELD, Finn",FAW ,West-Rock ,USA ,A17 ,
81,"ZAROFF, Leo",SANFRANFC ,Northern CA ,USA ,A16 ,
82T,"KATAYAMA, Kevin",AIFENCING / PREMIERFC ,New Jersey ,USA ,A17 ,
82T,"JACKSON, Malcolm",MANHATTAN ,Metro NYC ,USA ,A17 ,
84T,"BLUTT, Emerson",MANHATTAN ,Metro NYC ,USA ,B16 ,
84T,"HUANG, Bin",IFA ,New England ,USA ,A17 ,
86,"GRONNINGSATER, Eoin",BROKLN BRIDG. F.C. / DUKEUNIVFC ,Metro NYC ,USA ,A17 ,
87,"ALVEAR, felipe",,,CHI ,A17 ,
88,"EVANS, Cameron",FAW ,Connecticut ,USA ,B17 ,
89,"LUTAR, Lucas",FAW ,Huds-Berks ,USA ,A17 ,
90,"KNIGHT, Ethan",SILICONVALLEYFCTR ,Central CA ,USA ,A17 ,
91,"REID, Clayton",SANFRANFC ,Northern CA ,USA ,B17 ,
92T,"JEON, Nathan",SILICONVALLEYFCTR ,Central CA ,USA ,A16 ,
92T,"SNYTSHEUVEL, John Evan",GOLUBITSKY ,Orange Coast ,USA ,A16 ,
94,"ZHANG, zhenggang",,,SGP ,C17 ,
95,"MEMANI, Apurva",V FENCING ,New Jersey ,USA ,B17 ,
96,"KOECK, Tomas",BROKLN BRIDG. F.C. / PSU ,Connecticut ,USA ,A16 ,
97,"AHN, Aaron",GOLUBITSKY ,Southern CA ,USA ,A14 ,
98,"WISE, William",NWFC ,Oregon ,USA ,A17 ,
99,"EMMER, Chase",V FENCING ,New Jersey ,USA ,A17 ,
100,"GRIFFITH, Jordan",USAFA ,Colorado ,USA ,A16 ,
101,"WANG, Brian",MARX FENCING ,New England ,USA ,A17 ,
102,"ALVEAR, Pablo Anibal",,Metro NYC ,CHI ,A17 ,
103,"MCKENNA, Joseph",DURKAN ,Philadelphia ,USA ,A17 ,
104T,"QUIN, Ian",BRANDEIS / GUTKOVSKIY ,New Jersey ,USA ,B16 ,
104T,"ZILINSKIY, Eduard",TOUCHE / TEAMTOUCHE ,Central CA ,USA ,B15 ,
106,"CHIANG, Will",MARX FENCING ,New England ,USA ,B16 ,
107,"CAI, Alex",,,CAN ,A17 ,
108,"PADUA, Carlos",,,PUR ,A17 ,
109,"LI, Brian",MARX FENCING ,New England ,USA ,A17 ,
110,"CHU, Aidan",U.C.S.D. ,Northern CA ,USA ,A15 ,
111,"KNODT, Julian",M TEAM / PRNCTONU. ,Central CA ,USA ,A16 ,
112T,"SHAFAIE, Ali",FREEHOLD ,New Jersey ,USA ,B17 ,
112T,"DUNAT, Maximilian (Max)",5TFC ,Long Island ,USA ,B17 ,
114,"KOZAK, Mateusz",,,CAN ,A16 ,
115,"CHANG, Jason",TOUCHE / PENN ,Central CA ,USA ,A16 ,
116,"PALAZZOLO, William",5TFC ,Long Island ,USA ,A17 ,
117,"RADU, Andrew",FSA ,Long Island ,USA ,A15 ,
118T,"CHU, Derek",BALTI. F.C. ,Capitol ,USA ,C17 ,
118T,"DUBE, Charles-Hugo",,,CAN ,B15 ,
120,"LOPEZ, Carlos",FSA ,Virginia ,MEX ,C17 ,
121,"SHEARDOWN, Christopher",,,CAN ,B17 ,
122T,"BAE, Anthony",FENCERS ,New Jersey ,USA ,A17 ,
122T,"MULLIGAN, James",,Central CA ,USA ,A17 ,
124,"YEE, Maxwell",LAIFC ,Southern CA ,USA ,A17 ,
125,"LIU, Justin",M TEAM ,Central CA ,USA ,B17 ,
126,"GRASS, Andrew",UNAT / PSU ,Central PA ,USA ,A17 ,
127,"HODGES, Carter",MANHATTAN ,Metro NYC ,USA ,A17 ,
128,"MURRAY, Thomas",BROKLN BRIDG. F.C. / NOTREDAME ,Metro NYC ,USA ,B14 ,
129,"RUFFNER, Blake",FIT ,North TX ,USA ,B17 ,
130,"LITLE, Elishua",BRANDEIS ,New England ,ISR ,A17 ,
131,"HOWARD, Brian",U.C.S.D. / M TEAM ,Northern CA ,USA ,A14 ,
132,"NDIAYE, Edriss",,Capitol ,USA ,B17 ,
133,"YU, Nathan",PREMIERFC ,New Jersey ,USA ,A16 ,
134,"SPIRLI, Francesco",SILVER CITY / FAIRFIELD FENCING ,Connecticut ,USA ,B17 ,
135,"LIU, Patrick",IFA ,New England ,CAN ,A17 ,
136,"BRATTON, Jack",FIT ,North TX ,USA ,A17 ,
137,"PARKINS, Benjamin",AUSTIN F.C. ,South TX ,USA ,A14 ,
138T,"PAIK, Hyun",FENCERS ,New Jersey ,USA ,A17 ,
138T,"JALOWICA, Brandon",,Western NY ,CAN ,B17 ,
140,"LAKEHAL-AYAT, Anil",BACK ALLEY / RCHSTER ,Western NY ,ALG ,B16 ,
141T,"CARLICK, Benjamin",BROKLN BRIDG. F.C. ,Metro NYC ,USA ,B17 ,
141T,"MEGAT ZARIMAN, Megat Zuhril",U.C.S.D. / TEAMTOUCHE ,San Diego ,MAS ,B16 ,
141T,"POLANSKY, Solomon",JHOPKINSU. ,Minnesota ,USA ,B17 ,
144,"HEER, Damanjit",SILICONVALLEYFCTR ,Central CA ,USA ,B17 ,
145,"KANG, Joshua",PRECISION AFC ,Orange Coast ,USA ,A17 ,
146,"TICHACEK, Matthew",FENCERS / NOTREDAME ,New Jersey ,USA ,A17 ,
147,"FIELD, Miles",BROKLN BRIDG. F.C. ,Metro NYC ,USA ,A17 ,
148T,"DIVENTI, Paul",HOMEWD F.C. ,Maryland ,USA ,B17 ,
148T,"ADAMS, Luke",SILICONVALLEYFCTR ,Central CA ,USA ,C17 ,
150,"DESHMUKH, Parth",EFCA ,Georgia ,USA ,A15 ,
151,"LIAO, Jun Heng (James)",FENCERS ,New Jersey ,USA ,A17 ,
152,"PRINCE, Nicholas",BROKLN BRIDG. F.C. ,Metro NYC ,USA ,B17 ,
153T,"SOHN, Christopher",M TEAM ,Northern CA ,USA ,B17 ,
153T,"DING, Zachary",GOLUBITSKY / CAL F.C. ,San Bern'do ,USA ,B16 ,
153T,"OURSLER, Jack",MANHATTAN ,Metro NYC ,USA ,B17 ,
156T,"SWICEGOOD, Brian",USAFA ,Gateway FL ,USA ,A17 ,
156T,"MCGOFF, Jose",,,PUR ,A17 ,
156T,"DEBACK, Maximus",GRAFA ,Michigan ,USA ,B17 ,
159,"POON, Simon",,Western NY ,CAN ,B17 ,
160T,"POON, Alvin",,Western NY ,CAN ,B17 ,
160T,"JORAM, Jacob",DFC / JHOPKINSU. ,Colorado ,USA ,B16 ,
160T,"PITCHER, Skylar",GRAFA ,Michigan ,LAT ,C17 ,
163T,"LIN, Aaron",TOUCHE ,Central CA ,USA ,C16 ,
163T,"GUPTA, Eashan",M TEAM / JHOPKINSU. ,Central CA ,USA ,C17 ,
165,"TSAI, Yueh-Ting",JJL FENCING ,Utah-S.Idaho ,TPE ,A16 ,
166,"KUNZ, Alexander",FAW ,West-Rock ,MEX ,B17 ,
167,"KUNZ, Bernard",FAW ,West-Rock ,MEX ,A17 ,
168,"FLANAGAN, James",FAW ,West-Rock ,USA ,A17 ,
169,"HARTMARK, Anders",HOMEWD F.C. ,Maryland ,USA ,B17 ,
170T,"WU, Dawei",,Metro NYC ,USA ,B17 ,
170T,"PARRA, Fabian",,,COL ,C14 ,
172,"CAPLIN, Aubrey",UNAT / DUKEUNIVFC ,Virginia ,USA ,B16 ,
173T,"JONES, Michael",BROKLN BRIDG. F.C. ,Philadelphia ,USA ,C16 ,
173T,"URODOVSKIKH, Evan",SILICONVALLEYFCTR ,Central CA ,USA ,B17 ,
175,"GASSNER, Ethan",SANFRANFC ,Northern CA ,USA ,B17 ,
176T,"SAMORA, Jose",BROKLN BRIDG. F.C. ,Metro NYC ,DOM ,A17 ,
176T,"DING, Allan",MARX FENCING ,New England ,USA ,A17 ,
178,"CHESTNA, Samuel",OLYMPIA F. C. / BRANDEIS ,New England ,USA ,B17 ,
179,"SHING, Loktao",FIT ,North TX ,USA ,A17 ,
180,"ROSSELLO, Gustavo",NAPLES FA ,Central FL ,USA ,B17 ,
181,"MAURER, Ned",RCHMOND / MOE FC ,Virginia ,USA ,C17 ,
182T,"DONG, Darren",,,CAN ,B17 ,
182T,"BRODEUR, Marc-Antoine",,,CAN ,A17 ,
184,"LIU, Jonathan",BOSTN FNCNG. CLB. ,New England ,USA ,C17 ,
185,"DUELL, Jacob",DOMIN. F.C. / RCHMOND ,Virginia ,USA ,B17 ,
186,"HERGAN, Daniel",CULVER / FCC ,Indiana ,USA ,B17 ,
187T,"PARACKA, Eric",EFCA ,Georgia ,USA ,A16 ,
187T,"ADLER, Ian",FAP ,Philadelphia ,USA ,B17 ,
187T,"SHAFAIE, Kaveh",FREEHOLD ,New Jersey ,USA ,A16 ,
190,"HU, Oliver",MARX FENCING ,New England ,USA ,B17 ,
191,"JANSEN, Jesse",GRAFA ,Michigan ,USA ,C16 ,
192T,"LIMA, Kevin",RTF ,N. Carolina ,USA ,C17 ,
192T,"PARK, Noah",GUTKOVSKIY ,New Jersey ,USA ,B16 ,
