81,"MACDOUGALL, Forrest",PRECISION AFC ,Southern CA ,USA ,A15 ,
82T,"GRUBER, Samuel",MOE FC ,New England ,USA ,A17 ,
82T,"PHILLIPS, Shaw",,Western WA ,USA ,A17 ,
84,"CHEN, James",FENCERS ,Connecticut ,USA ,A17 ,
85,"CHUNG, Andrew",GOLUBITSKY ,Orange Coast ,USA ,A17 ,
86,"HOSSFELD, Finn",FAW ,West-Rock ,USA ,A17 ,
87,"KHAZBAK, Hazem",NOTREDAME / BLUEGRASS ,Kentucky ,EGY ,A17 ,
88,"GRASSE, Ellis",ATABA F.C. ,Wisconsin ,USA ,B16 ,
89,"DESAI, Nalin",SILICONVALLEYFCTR ,Central CA ,USA ,B16 ,
90,"BINDER, Zachary",FAW ,West-Rock ,USA ,A17 ,
91,"CHUNG, David",,St. Louis ,USA ,B16 ,
92,"LEWICKI, Max",MEDEO F.C. ,New Jersey ,USA ,A17 ,
93,"TIRADO, Sebastian",FENCERS ,New Jersey ,PUR ,A17 ,
94,"MULLIGAN, James",,Central CA ,USA ,A17 ,
95,"OLSON, Pel",MINN. SWD. CLB. ,Minnesota ,USA ,A17 ,
96,"HU, Oliver",MARX FENCING ,New England ,USA ,B17 ,
97,"MANNAN, Zohaib",BROKLN BRIDG. F.C. / NYU ,Metro NYC ,USA ,A17 ,
98T,"FERNANDEZ, Lucas",MASTERS F.C. ,Gold Coast ,USA ,B17 ,
98T,"CHU, Derek",BALTI. F.C. ,Capitol ,USA ,C17 ,
98T,"KELLY, Benjamin",ANAHEIM HILL FENCERS ,Orange Coast ,USA ,B17 ,
101T,"LEVY, Jacob",FRESNO ,Mt. Valley ,USA ,C17 ,
101T,"WANG, Brian",MARX FENCING ,New England ,USA ,A17 ,
103,"ZOBEL, Eric",NYU ,Western WA ,USA ,A17 ,
104,"TAQUET, William",FIT ,North TX ,USA ,B17 ,
105,"POON, Simon",,Western NY ,CAN ,B17 ,
106,"JU, Alexander",NOTREDAME / FENCERS ,New Jersey ,USA ,B17 ,
107,"SOHN, Christopher",M TEAM ,Northern CA ,USA ,C17 ,
108,"PHAN, Nicholas",U.C.S.D. ,Central CA ,USA ,C15 ,
109,"ZHANG, Vincent",SILICONVALLEYFCTR ,Central CA ,USA ,C17 ,
110,"YU, Eric",LAIFC ,Southern CA ,USA ,A17 ,
111,"SHIH, Benjamin",TOUCHE ,Central CA ,USA ,B16 ,
112,"BERMENDER, Cameron",NORTHBAYFA ,Northern CA ,USA ,B16 ,
113,"SNYTSHEUVEL, John Evan",GOLUBITSKY ,Orange Coast ,USA ,A16 ,
114,"AYUPOV, Ilya",UFA ,Southern CA ,USA ,B17 ,
115,"LUTAR, Lucas",FAW ,Huds-Berks ,USA ,B17 ,
116,"PARK, Brian",FENCERS ,Metro NYC ,USA ,A17 ,
117,"KUNZ, Bernard",FAW ,West-Rock ,MEX ,B16 ,
118,"HOWARD, Brian",U.C.S.D. / M TEAM ,Northern CA ,USA ,A14 ,
119,"LIAO, Jun Heng (James)",FENCERS ,New Jersey ,USA ,A17 ,
120,"LAW, Robert",,National ,USA ,B17 ,
121,"BRATTON, Jack",FIT ,North TX ,USA ,B17 ,
122T,"ZUSIN, Zachary",FAW ,West-Rock ,USA ,B17 ,
122T,"VOGLER, Justin",NWFC ,Oregon ,USA ,A17 ,
122T,"EMMER, Chase",VFC ,New Jersey ,USA ,B17 ,
125,"LOUIE, Brennan",LAIFC ,Southern CA ,PHI ,A15 ,
126,"PARK, Noah",GUTKOVSKIY / FENCERS ,New Jersey ,USA ,B16 ,
127,"MCGOFF, Jose",FSA ,Virginia ,PUR ,B14 ,
128,"TSAI, Yueh-Ting",JJL FENCING ,Utah-S.Idaho ,TPE ,A16 ,
129,"TIERNEY, David",NAPLES FA ,Central FL ,USA ,B16 ,
130,"HODGES, Carter",MANHATTAN ,Metro NYC ,USA ,B17 ,
131,"LIU, Justin",M TEAM ,Central CA ,USA ,B17 ,
132T,"HAMILTON, Bogdan",FENCERSACA ,St. Louis ,USA ,C16 ,
132T,"MARTINEZ, Donavyn",FRESNO ,Mt. Valley ,USA ,B17 ,
134,"PITCHER, Skylar",GRAFA ,Michigan ,LAT ,C17 ,
135T,"FERNANDES, Zain",CFA (CA) ,Central CA ,USA ,C17 ,
135T,"KONG, Kenneth",SANFRANFC ,Northern CA ,USA ,C17 ,
137,"KANG, Joshua",,Orange Coast ,USA ,A16 ,
138,"YU, Adam",LAIFC ,Southern CA ,USA ,A16 ,
139,"YANG, Andy",SILICONVALLEYFCTR ,Central CA ,USA ,A17 ,
140,"MEGAT ZARIMAN, Megat Zuhril",U.C.S.D. / TEAMTOUCHE ,San Diego ,MAS ,B16 ,
141,"DAVIS, Christopher",M TEAM ,Mt. Valley ,USA ,C17 ,
142,"FIECHTNER, Thomas",CDL ,San Diego ,USA ,B16 ,
143,"COZINE, Owen",MINN. SWD. CLB. ,Minnesota ,USA ,C17 ,
144,"KUNZ, Alexander",FAW ,West-Rock ,MEX ,B16 ,
145,"KERSHAW, Clinton",SOUTHCFC ,Orange Coast ,USA ,B17 ,
146,"POPPEL, Martin",,South TX ,SWE ,C16 ,
147,"JOHNSON, Cole",M TEAM ,Northern CA ,USA ,A17 ,
148,"BERMINGHAM, Bradford",,,CAN ,C17 ,
149,"SHI, Shenzhi",BALTI. F.C. ,Maryland ,USA ,B17 ,
150,"ADAMS, Luke",SILICONVALLEYFCTR ,Central CA ,USA ,C17 ,
151,"HU, James",,Michigan ,USA ,A15 ,
152,"KIM, John",,Southern CA ,USA ,B16 ,
153T,"RAMOS, Damian",NAPLES FA ,Gold Coast ,USA ,C16 ,
153T,"LEMAY, Teo",,,CAN ,C17 ,
155,"WANG, Christopher",FIT ,North TX ,USA ,C17 ,
156,"LUI, Sebastian",M TEAM ,Northern CA ,USA ,C16 ,
157,"PAEK, Alex",ANAHEIM HILL FENCERS ,Orange Coast ,USA ,B17 ,
158,"MCGILLION-MOORE, Jake",FAIRFIELD FENCING ,Connecticut ,USA ,B17 ,
159,"CONCEPCION, Nicholas",NJIT ,New Jersey ,USA ,B16 ,
160,"ROMANOV, Michael",,Illinois ,USA ,B16 ,
