46,"Rheingans-Yoo, Duncan",A17 / 30 ,UNAT / MARXFENCING ,New England ,USA ,3 ,0.60 ,23 ,16 ,+7 ,Advanced
47,"Gassner, Ethan",A18 ,SFFC ,Northern CA ,USA ,3 ,0.60 ,22 ,17 ,+5 ,Advanced
48,"Emmer, Chase",A18 / 77 ,VFENCING ,New Jersey ,USA ,3 ,0.60 ,21 ,17 ,+4 ,Advanced
49,"Paik, Joon",A18 / 29 ,FENCERSCLUB ,New Jersey ,USA ,3 ,0.60 ,20 ,16 ,+4 ,Advanced
50,"Ostatnigrosh, Andrey",A18 / 80 ,PASTATEUNIV / FRESNOFA ,Mt. Valley ,USA ,3 ,0.60 ,20 ,17 ,+3 ,Advanced
51,"Borowiak, Arwen",A18 ,SFFC ,Northern CA ,GER ,3 ,0.60 ,18 ,22 ,-4 ,Advanced
52,"Kumbla, Sidarth",A18 / 8 ,SILICONVLYFC ,Central CA ,USA ,3 ,0.50 ,25 ,19 ,+6 ,Advanced
53,"Johnson, Aidan",A18 / 90 ,FENCERSCLUB ,Metro NYC ,USA ,3 ,0.50 ,24 ,19 ,+5 ,Advanced
54,"Murray, Thomas",B14 ,BBFC / NOTREDAME ,Metro NYC ,USA ,3 ,0.50 ,25 ,21 ,+4 ,Advanced
55,"Louie, Bryce",A18 / 65 ,LAIFC ,Southern CA ,USA ,3 ,0.50 ,23 ,19 ,+4 ,Advanced
56,"Bratton, Jack",A17 ,FIT ,North TX ,USA ,3 ,0.50 ,27 ,24 ,+3 ,Advanced
57T,"Kang, Andrew",B17 ,TOPFC / NC-CHAPELHIL ,Metro NYC ,USA ,3 ,0.50 ,23 ,20 ,+3 ,Advanced
57T,"Weinstein, Connor",A14 / 50 ,MARXFENCING / NWFENCINGCTR ,New England ,USA ,3 ,0.50 ,23 ,20 ,+3 ,Advanced
59,"Ouellette, David",B17 / 115 ,5TFC ,Long Island ,USA ,3 ,0.50 ,23 ,21 ,+2 ,Advanced
60,"Chu, Aidan",A15 ,UCA-SANDIEGO ,Northern CA ,USA ,3 ,0.50 ,22 ,20 ,+2 ,Advanced
61T,"Zakharikov, Anton",A17 / 33 ,SFFC ,Northern CA ,RUS ,3 ,0.50 ,21 ,19 ,+2 ,Advanced
61T,"Colon, Cesar",A17 / 105 ,,,PUR ,3 ,0.50 ,21 ,19 ,+2 ,Advanced
63,"Tirado, Sebastian",A18 / 93 ,FENCERSCLUB ,New Jersey ,PUR ,3 ,0.50 ,25 ,24 ,+1 ,Advanced
64,"Hadler, Benjamin",A18 / 99 ,SFFC ,Northern CA ,USA ,3 ,0.50 ,23 ,22 ,+1 ,Advanced
65T,"Lee, Benjamin",A18 / 58 ,MTFC ,Western WA ,USA ,3 ,0.50 ,22 ,21 ,+1 ,Advanced
65T,"Cheng, Julian",A17 / 39 ,M TEAM ,Central CA ,USA ,3 ,0.50 ,22 ,21 ,+1 ,Advanced
67,"Palazzolo, William",A17 ,5TFC ,Long Island ,USA ,3 ,0.50 ,22 ,22 ,0 ,Advanced
