82,"Huang, Bin",MARXFENCING ,New England ,USA ,A18 ,
83,"Chang, Jason",LECLUBTOUCHE / UNIVPA ,Central CA ,USA ,A16 ,
84,"Parkins, Benjamin",AUSTINFC ,South TX ,USA ,A14 ,
85,"Levy, Jasper",BBFC ,Long Island ,USA ,A18 ,
86,"Hu, Oliver",MARXFENCING ,New England ,USA ,B17 ,
87,"Vogler, Justin",NWFENCINGCTR ,Oregon ,USA ,A18 ,
88,"Iverson, Shane",VFENCING / PASTATEUNIV ,New Jersey ,USA ,A16 ,
89,"Law, Robert",M TEAM ,National ,USA ,B17 ,
90,"Gruber, Samuel",MOEFENCING ,New England ,USA ,A18 ,
91,"Bae, Anthony",FENCERSCLUB ,New Jersey ,USA ,A17 ,
92,"Wu, Jerry",LECLUBTOUCHE ,Central CA ,USA ,A17 ,
93,"Condiff, Noah",ZFA ,Philadelphia ,USA ,A16 ,
94T,"Daniel, Ashton",SILICONVLYFC ,Central CA ,USA ,A17 ,
94T,"Gaziano, William",MEDEOFC / OSUNCAA ,New Jersey ,USA ,A16 ,
94T,"McKenna, Joseph",DURKANFA ,Philadelphia ,USA ,A17 ,
97,"McGillion-Moore, Jake",FCFA/FFA ,Connecticut ,IRL ,B18 ,
98,"Hodges, Carter",MANHATTANFC ,Metro NYC ,USA ,A18 ,
